page/route,module,rendered/current name,rendered execution statement,expected name,expected execution statement,canonical-structure statement,current operational state,PASS/FAIL,note
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),A1.1,Monte Carlo EAC Forecast,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",Monte Carlo EAC Forecast,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),A1.7,TCPI,the current production runner computes the canonical method from the governed evidence the platform already holds,TCPI,the current production runner computes the canonical method from the governed evidence the platform already holds,not required by this module,COMPUTES_FROM_AVAILABLE_EVIDENCE,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),A3.4,Material Cost Variance,the module is disabled pending an evidence-design decision and produces no live project reading,Material Cost Variance,the module is disabled pending an evidence-design decision and produces no live project reading,not required by this module,DISABLED_EVIDENCE_UNDER_REVIEW,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),A4.1,Document Risk Score,the platform consumes a governed supplied value rather than computing the value as an analytical module,Document Risk Score,the platform consumes a governed supplied value rather than computing the value as an analytical module,"declared in the canonical-structure layer but enforced by no current route, because the pl",SUPPLIED_VALUE,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),A6.1,Quality Compliance Index,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",Quality Compliance Index,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),A6.2,Safety Performance Index,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",Safety Performance Index,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),A6.4,Contractor Performance Assessment Signal,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",Contractor Performance Assessment Signal,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),B2.18,MARCOS Ranking,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",MARCOS Ranking,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),B2.19,CRITIC-TOPSIS,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",CRITIC-TOPSIS,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),B2.20,Hypersoft Sets,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",Hypersoft Sets,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",required and enforced by the canonical-structure layer,DISABLED_CONCEPT_ONLY,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),B2.7,Plithogenic Sets,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",Plithogenic Sets,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",required and enforced by the canonical-structure layer,DISABLED_CONCEPT_ONLY,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),B2.9,Quantum Probability,"historical implementation and scientific record are preserved, but the method is not a runnable current capability",Quantum Probability,"historical implementation and scientific record are preserved, but the method is not a runnable current capability",not required by this module,ARCHIVED_FUTURE_RESEARCH,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),B3.1,Agent-Based Governance Model,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",Agent-Based Governance Model,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),B3.2,FAR/Agency EVMS Applicability Monitor,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",FAR/Agency EVMS Applicability Monitor,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),B3.3,Versioned A-11 Capital Programming Conformance Check,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",Versioned A-11 Capital Programming Conformance Check,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),B3.4,EVMS Reporting Compliance Monitor,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",EVMS Reporting Compliance Monitor,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),B3.5,Contract Modification Governance Check,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",Contract Modification Governance Check,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),B4.1,Multi-Objective Optimization,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",Multi-Objective Optimization,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",required and enforced by the canonical-structure layer,DISABLED_CONCEPT_ONLY,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),B4.2,Linear Programming,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",Linear Programming,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",required and enforced by the canonical-structure layer,DISABLED_CONCEPT_ONLY,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),B4.3,Constraint Satisfaction Analysis,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",Constraint Satisfaction Analysis,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),B4.4,What-If Scenario Matrix,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",What-If Scenario Matrix,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),B4.5,Decision Sensitivity Matrix,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",Decision Sensitivity Matrix,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",required and enforced by the canonical-structure layer,DISABLED_CONCEPT_ONLY,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),B4.6,Pareto Frontier Analysis,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",Pareto Frontier Analysis,"the canonical laboratory engine exists, but the module is operationally disabled and produces no live project reading",required and enforced by the canonical-structure layer,DISABLED_CONCEPT_ONLY,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),B4.7,Minimax Regret Decision Rule,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",Minimax Regret Decision Rule,"the canonical production runner exists, but execution requires a named defining structure; when that structure is absent",required and enforced by the canonical-structure layer,CONDITIONAL_ON_GOVERNED_STRUCTURE,PASS,
index.html -> DS_DEFENSIBILITY_EVIDENCE (loaded in browser),D1.1,Isolation Forest,the current portfolio runner computes this reading across the portfolio rather than from a single project's governed evi,Isolation Forest,the current portfolio runner computes this reading across the portfolio rather than from a single project's governed evi,not required by this module,PORTFOLIO_COMPUTED,PASS,
