cycle,requirement,test,result,detail
1,no change to lineage classes,inspection of the three changed production files,NO_CHANGE,"None of the four corrected modules is a combination rule, and none feeds another module as evidence. 3.7, 8.7, 9.2 and 9.7 are all leaf indicators reading project inputs or the event log directly."
1,duplicate-transform neutrality,carried forward from Run 19,OPEN,ARCH.2 remains open. Run 19 recorded one body of evidence combined twice sharpening belief from 0.70 to 0.93. Cycle 1 did not touch the combination rule.
2,no change to lineage classes,inspection of the one changed production file,NO_CHANGE,"8.2, 8.3, 8.4 and 10.3 are leaf governance indicators reading project inputs directly. No band moved, so no downstream value changed."
"3 STEP ONE, PRE-FIX REPRODUCTION ONLY. THE DEFECT IS NOT FIXED.",specification 22 point 5: duplicating a correlated or aliased module must not manufacture stronger agreement or confidence,"server/tools/test_run20_lineage_reproduction.py, dst_fuse over one source and over the same source repeated","FAIL, REPRODUCED AND PINNED","single Amber source mass 0.7000; the SAME source counted twice 0.9273; counted three times 0.9861. It is not an Amber artefact: single Green 0.8000 becomes 0.9722 and single Red 0.8340 becomes 0.9787, so duplication manufactures unwarranted REASSURANCE as readily as unwarranted alarm."
3 STEP ONE,Dempster's K measures disagreement between independent bodies of evidence,the conflict coefficient reported when a source is combined with a copy of itself,"FAIL, REPRODUCED AND PINNED","0.4414, where a single source correctly reports 0.0000. One body of evidence cannot disagree with itself, so a non-zero coefficient is itself proof that Dempster's rule is being applied to evidence whose independence assumption does not hold."
3 STEP ONE,specification 22 point 4: multiple transformations of the same evidence preserve lineage,"the declared required inputs of the two voting modules, read from their own source","FAIL, REPRODUCED","THE DEFECT IS IN THE LIVE VOTING PATH, NOT ONLY IN A LABORATORY EXAMPLE. A1.7 To-Complete Performance Index declares bac, ev and ac; A1.8 Variance at Completion declares bac and cpi, and cpi is earned value over actual cost. Both are transforms of one body of earned-value evidence, and compute.py fuses them as two independent votes on project status. Nothing anywhere records that they share a lineage."
3 STEP ONE,a framework-level dependence vocabulary every consumer can read,search of production for the eight dependence classes,"FAIL, ABSENT","None of INDEPENDENT, DERIVED, CORRELATED, SAME_SOURCE_TRANSFORM, SYNTHESIZED, QUALITY_METADATA, GOVERNANCE_OUTPUT or DECISION_OUTPUT exists in production. dst_fuse takes only status strings, so lineage cannot be supplied to it even by a caller that knows it. There is no grouping, discounting or refusal of dependent evidence to strengthen or weaken."
3 NOT DONE,"the remaining cycle-3 work, stated so it is not mistaken for finished",none run,NOT STARTED,The lineage CONTROL is not built. The Category-9 operational gate ARCH.1 is not built. 4.6 and 5.3 lineage disclosure are not done. The eleven dependent-evidence cases the supervisory clarification names are not tested. Cycle 3 is step one of many and the register records it as OPEN.
3 COMMIT A,a framework-level dependence vocabulary every consumer can read,"server/tools/test_run20_lineage_model.py, the nine relationship classes and the required record fields",PASS,"server/app/simulation/lineage.py declares all nine relationships, refuses an unrecognised one rather than defaulting it to INDEPENDENT, and every declared module lineage carries module_id, source_fact_ids, source_document_ids, dependency_ids, lineage_group_ids, evidence_relationship and derivation_chain."
3 COMMIT A,specification 22 point 4: multiple transformations of the same evidence preserve lineage,"the derivation chains of the two voting modules, checked step by step",PASS,A1.7 reaches the earned value directly and A1.8 reaches it through the cost performance index and the estimate at completion. Both declare the same three governed facts and both declare themselves SAME_SOURCE_TRANSFORM. The chain is retained rather than only the module id.
3 COMMIT A,the partition is correct against hand-worked expectations,"nine partition cases, each expectation written out by hand as sets of module ids",PASS,"Includes the case a fact list cannot express (a declared shared group with no shared fact), the case a declaration cannot express (a signal claiming INDEPENDENT while resting on the same facts), and transitivity through a third signal."
3 COMMIT A,specification 22 point 5: duplicating a correlated or aliased module cannot manufacture stronger agreement,"the eight cases A to H, plus idempotence over every band at two, three and five copies",PASS,"Cases A to E join the existing body and leave the mass at 0.7000. Cases F, G and H are refused as project evidence entirely. Positive controls prove the suite can still fail: two genuinely independent bodies still corroborate to 0.9273 and a third strengthens further."
3 COMMIT A,mutation proof of the lineage model,"three mutations, each byte-confirmed",PASS,"M13 the declared-lineage-group rule erased from the partition, caught by the declared-shared-group partition case. M14 the two voting modules relabelled INDEPENDENT, caught by the two same-source-transform declaration checks. M15 QUALITY_METADATA removed from the anti-feedback set, caught by six checks including case F and both anti-feedback directions. Each restored and proved green."
