row_type,module_id,canonical_name,canonical,implementation,input_contract,parameter_provenance,calibration,empirical_validation,lineage,routing,operational_disposition,voting,participant_exposure,blocking_defect,final_qualification
SCIENTIFIC_TARGET,A1.1,Monte Carlo EAC Forecast,YES,YES,NO - accepted by the intake and read by no route,UNSUPPORTED,NO_CALIBRATION_SET,CALIBRATION_GAP_BLOCKS_VALIDATION,LINEAGE_ESTABLISHED_DEPENDENT,CANONICAL_REACHED,KEEP_ADVISORY,NO,YES,NO,QUALIFIED_FOR_BOUNDED_STUDY_USE
SCIENTIFIC_TARGET,A1.10,CPI Shrinkage Forecast,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A1.11,Independent EAC Reconciliation Index,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_ESTABLISHED_INDEPENDENT,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A1.2,CUSUM Anomaly Monitor,YES,YES - scalar,n/a,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_ESTABLISHED_DEPENDENT,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A1.3,Bayesian EAC,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_ESTABLISHED_INDEPENDENT,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A1.4,Kalman Filter SPI Smoother,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_ESTABLISHED_INDEPENDENT,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A1.5,ARIMA CPI Forecast,YES,YES - scalar,n/a,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_ESTABLISHED_DEPENDENT,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A1.6,Earned Schedule,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A1.7,TCPI,YES,YES - scalar,n/a,PUBLISHED_METHOD_PARAMETER,NO_CALIBRATION_SET,PARTIAL_REFERENCE_STANDARD,LINEAGE_ESTABLISHED_DEPENDENT,CANONICAL_REACHED,KEEP_OPERATIONAL,YES,YES,NO,QUALIFIED_FOR_BOUNDED_STUDY_USE
SCIENTIFIC_TARGET,A1.8,Variance at Completion,YES,YES - scalar,n/a,PUBLISHED_METHOD_PARAMETER,NO_CALIBRATION_SET,PARTIAL_REFERENCE_STANDARD,LINEAGE_ESTABLISHED_DEPENDENT,CANONICAL_REACHED,KEEP_OPERATIONAL,YES,YES,NO,QUALIFIED_FOR_BOUNDED_STUDY_USE
SCIENTIFIC_TARGET,A1.9,Budget Execution Rate,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A2.1,PERT Network Criticality,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A2.10,Schedule Risk Analysis P80,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A2.11,Critical Path Index,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A2.2,Line of Balance,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A2.3,CCPM Buffer Health,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A2.4,Schedule Compression Index,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
SCIENTIFIC_TARGET,A2.5,Float Consumption Rate,YES,YES,YES when supplied - the runner refuses without it,UNSUPPORTED,NO_CALIBRATION_SET,STRUCTURE_OR_DATA_ABSENT,LINEAGE_UNRESOLVED,CANONICAL_ABSTENTION,KEEP_ABSTENTION_CAPABLE,NO,YES,NO,QUALIFIED_WITH_ABSTENTION
