authority,rule_section,version,effective_publication_date,modules,configured_use,claim_permitted,claim_prohibited,source_record,review_status
EPA,"EPA Construction General Permit (2022, as modified)","EPA Construction General Permit, 2022 as modified",2022-02-17,A6.3,"The modified 2022 EPA Construction General Permit is applicable ONLY where EPA is the permitting authority. Construction-stormwater authority may instead be state, tribal, local or","available governed evidence satisfies / does not satisfy / is insufficient for the configured rule check, subject to responsible-authority review",FAR/OMB/OSHA/EPA compliant; legally compliant; legal determination; certified compliant,REGULATORY_SNAPSHOT_2026-08-16,"SUPERVISORY SNAPSHOT, NOT A LEGAL OPINION"
FAR,FAR 34.201,FAC 2026-01,2026-03-13,B3.2; B3.4,EVMS is required for major acquisitions for development in accordance with OMB Circular A-11; the Government may also require EVMS for other acquisitions under agency procedures; w,"available governed evidence satisfies / does not satisfy / is insufficient for the configured rule check, subject to responsible-authority review",FAR/OMB/OSHA/EPA compliant; legally compliant; legal determination; certified compliant,REGULATORY_SNAPSHOT_2026-08-16,"SUPERVISORY SNAPSHOT, NOT A LEGAL OPINION"
FAR,FAR Subpart 42.15,FAC 2026-01,2026-03-13,A6.4,"Contractor performance information includes ratings and supporting narratives; CPARS is the official source for Federal past-performance information; evaluation factors, narratives","available governed evidence satisfies / does not satisfy / is insufficient for the configured rule check, subject to responsible-authority review",FAR/OMB/OSHA/EPA compliant; legally compliant; legal determination; certified compliant,REGULATORY_SNAPSHOT_2026-08-16,"SUPERVISORY SNAPSHOT, NOT A LEGAL OPINION"
FAR,FAR 43.102,FAC 2026-01,2026-03-13,B3.5,Only contracting officers acting within the scope of their authority may execute Government contract modifications.,"available governed evidence satisfies / does not satisfy / is insufficient for the configured rule check, subject to responsible-authority review",FAR/OMB/OSHA/EPA compliant; legally compliant; legal determination; certified compliant,REGULATORY_SNAPSHOT_2026-08-16,"SUPERVISORY SNAPSHOT, NOT A LEGAL OPINION"
FAR,FAR 43.103,FAC 2026-01,2026-03-13,B3.5,Bilateral and unilateral contract modification types are distinct.,"available governed evidence satisfies / does not satisfy / is insufficient for the configured rule check, subject to responsible-authority review",FAR/OMB/OSHA/EPA compliant; legally compliant; legal determination; certified compliant,REGULATORY_SNAPSHOT_2026-08-16,"SUPERVISORY SNAPSHOT, NOT A LEGAL OPINION"
FAR,FAR 43.301,FAC 2026-01,2026-03-13,B3.5,SF 30 applicability follows the governing FAR/form rule; it is never inferred from a count of modifications.,"available governed evidence satisfies / does not satisfy / is insufficient for the configured rule check, subject to responsible-authority review",FAR/OMB/OSHA/EPA compliant; legally compliant; legal determination; certified compliant,REGULATORY_SNAPSHOT_2026-08-16,"SUPERVISORY SNAPSHOT, NOT A LEGAL OPINION"
FAR,FAR Subpart 46.2,FAC 2026-01,2026-03-13,A6.1,"Contract quality requirements depend on the acquisition, including its technical description, complexity and criticality. There is no universal one-number FAR quality score.","available governed evidence satisfies / does not satisfy / is insufficient for the configured rule check, subject to responsible-authority review",FAR/OMB/OSHA/EPA compliant; legally compliant; legal determination; certified compliant,REGULATORY_SNAPSHOT_2026-08-16,"SUPERVISORY SNAPSHOT, NOT A LEGAL OPINION"
FAR,FAR 52.234-4,FAC 2026-01,2026-03-13,B3.2; B3.4,"Where the clause applies, the contractor uses an EVMS determined by the Cognizant Federal Agency to comply with EIA-748 in the version current at time of award under the clause, an","available governed evidence satisfies / does not satisfy / is insufficient for the configured rule check, subject to responsible-authority review",FAR/OMB/OSHA/EPA compliant; legally compliant; legal determination; certified compliant,REGULATORY_SNAPSHOT_2026-08-16,"SUPERVISORY SNAPSHOT, NOT A LEGAL OPINION"
OMB,OMB Circular A-11,A-11 2025-08-29,2025-08-29,B3.3,Capital programming guidance. This instrument evaluates ONLY an explicitly configured requirement subset and never a global A-11 conformance state.,"available governed evidence satisfies / does not satisfy / is insufficient for the configured rule check, subject to responsible-authority review",FAR/OMB/OSHA/EPA compliant; legally compliant; legal determination; certified compliant,REGULATORY_SNAPSHOT_2026-08-16,"SUPERVISORY SNAPSHOT, NOT A LEGAL OPINION"
OSHA,OSHA recordable incidence rate identity,OSHA recordkeeping/incidence guidance (snapshot 2026-08-16),2026-08-16,A6.2,IncidenceRate = RecordableCases * 200000 / EmployeeHoursWorked. Leading indicators are proactive/preventive; lagging indicators describe events that already occurred; a defensible ,"available governed evidence satisfies / does not satisfy / is insufficient for the configured rule check, subject to responsible-authority review",FAR/OMB/OSHA/EPA compliant; legally compliant; legal determination; certified compliant,REGULATORY_SNAPSHOT_2026-08-16,"SUPERVISORY SNAPSHOT, NOT A LEGAL OPINION"
