module_id,module_name,category_number,category_name,run8_defect,expected_behavior,actual_behavior_before_run10,defect_class,production_file,planned_correction
A1.5,ARIMA CPI Forecast,1,Cost Forecasting,The history domain is unguarded. Also the coefficient is not estimated on three points: with one product pair it is the ratio of the two differences and clamps at 0.9.,The module refuses the input and publishes no figure and no band.,A history containing a reading at or below zero was differenced and forecast.,open input domain,server/app/simulation/models_evm.py,Refuse a cost performance history containing a reading at or below zero.
A1.6,Earned Schedule,1,Cost Forecasting,"Two faults with current data: the completion domain is unguarded, and the module requires earned value, planned value and budget and then reads none of them, so a project reporting progress without earned value abstains for no arithmetic reason.","The module computes from the two percentages it reads, and refuses one outside the domain.",A completion outside nought to one hundred produced a schedule index; three unread figures were demanded.,open input domain and unread requirement,server/app/simulation/models_evm.py,Require only the two completion percentages the arithmetic reads; refuse a percentage outside nought to one hundred.
A1.11,ICE Ratio,1,Cost Forecasting,"A negative index produces a negative forecast reported as a currency figure. The guard exists in the cost risk, scenario and Bayesian computations and is absent here.",The module refuses the input and publishes no figure and no band.,A negative index produced a negative completion forecast printed as currency.,open input domain,server/app/simulation/models_evm.py,"Refuse a cost index at or below zero, not only exactly zero."
A2.1,PERT Network Criticality,2,Schedule Analytics,"The band divides an eightieth percentile of a sum by a sum of MODES, so the ratio is structurally above 1.15 whatever the schedule index. Correctable with current data by comparing like with like, or by abstaining. The canonical method separately needs a network.",The module abstains on the absent canonical structure.,"A criticality index was reported from three activity durations hard-coded in the file, and a healthy reading was unreachable.",structurally unreachable disposition,server/app/simulation/models.py,Remove the literal-driven sampling and abstain on the absent activity network.
A2.5,Float Consumption Rate,2,Schedule Analytics,A negative consumed float adds float to the project and reads Green. The fifteen-defects run removed the invented completion fallback and did not guard the consumed float domain.,The module refuses the input and publishes no figure and no band.,A negative consumed float added float and read Green.,open input domain,server/app/simulation/models_ext.py,Refuse a negative consumed float.
A2.9,Resource Loading Index,2,Schedule Analytics,Negative actual hours are not a measurement. Red is the right colour for the wrong reason and the ratio beside it is not a quantity. Band corridor is otherwise correct and inclusive at both edges.,The module refuses the input and publishes no figure and no band.,Negative actual hours produced a negative load ratio and read Red for the wrong reason.,open input domain,server/app/simulation/models_ext.py,Refuse negative actual labour hours.
A2.10,Schedule Risk Analysis P80,2,Schedule Analytics,"The unguarded denominator is the exact defect the fifteen-defects run removed from the cost risk computation next door, still standing here. A raise loses the whole project result rather than one module abstaining.",The module refuses the input and publishes no figure and no band.,A zero index raised and lost the whole project result; a negative index reported the project finishing early and read Green.,open input domain and unguarded denominator,server/app/simulation/models_ext.py,Refuse a schedule index at or below zero and a completion outside nought to one hundred.
A2.11,Critical Path Index,2,Schedule Analytics,Run 7 guarded the denominator and left the schedule index domain open. Lower severity than the others in this bucket because the band is Red either way; the reported index is still not a quantity.,The module refuses the input and publishes no figure and no band.,A schedule index at or below zero was averaged into the composite.,open input domain,server/app/simulation/models_ext.py,Refuse a schedule index at or below zero.
A3.6,Cost Risk Analysis P80,3,Cost Risk,"The finding text hard-codes a leading plus and then formats a negative number, so the sentence a reader sees on the Signal Ledger carries a double sign. Reachable on real data because a cost index may legitimately exceed one.",The finding text carries the sign the figure carries.,A forecast below budget printed a plus and a minus together.,finding text contradicts the figure,server/app/simulation/models_ext.py,Take the sign of the delta from the delta.
A4.10,Specification Conflict Density,4,Document and Risk Signals,"Run 7 removed the substitution and left the document risk domain open, and the out-of-domain value lands in the CALMEST band, which is the harmful direction. Run 6 recorded that the layer relies on one ingestion guard; this is where that reliance costs.",The module refuses the input and publishes no figure and no band.,A document risk score outside nought to one produced a density that read Green.,open input domain,server/app/simulation/models_doc.py,Refuse a document risk score outside nought to one.
