module_id,analytical_purpose,primary_inputs,primary_lineage,closest_overlapping_target,overlap_type,unique_analytical_contribution,current_operational_necessity,proposed_disposition,evidence,result
A1.1,Monte Carlo EAC Forecast (Cost & EVM Performance),"bac, cpi, docRiskScore, spi",LINEAGE_ESTABLISHED_DEPENDENT,none,NONE,YES,BOUNDED ADVISORY,KEEP_ADVISORY,"primitive sources actually read on the governed corpus: ['bac', 'cpi', 'docRiskScore', 'spi']; declared governed structure: costDriverDistributions; lineage state LINEAGE_ESTABLISHED_DEPENDENT; independence established: False",PASS
A1.2,CUSUM Anomaly Monitor (Cost & EVM Performance),"spi, spiHistory",LINEAGE_ESTABLISHED_DEPENDENT,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,"primitive sources actually read on the governed corpus: ['spi', 'spiHistory']; declared governed structure: NO_GOVERNED_STRUCTURE_KEY (reads plain scalar evidence); lineage state LINEAGE_ESTABLISHED_DEPENDENT; independence established: False",PASS
A1.3,Bayesian EAC (Cost & EVM Performance),bayesianEacModel,LINEAGE_ESTABLISHED_INDEPENDENT,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['bayesianEacModel']; declared governed structure: bayesianEacModel; lineage state LINEAGE_ESTABLISHED_INDEPENDENT; independence established: True,PASS
A1.4,Kalman Filter SPI Smoother (Cost & EVM Performance),kalmanStateSpaceModel,LINEAGE_ESTABLISHED_INDEPENDENT,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['kalmanStateSpaceModel']; declared governed structure: kalmanStateSpaceModel; lineage state LINEAGE_ESTABLISHED_INDEPENDENT; independence established: True,PASS
A1.5,ARIMA CPI Forecast (Cost & EVM Performance),"cpi, cpiHistory",LINEAGE_ESTABLISHED_DEPENDENT,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,"primitive sources actually read on the governed corpus: ['cpi', 'cpiHistory']; declared governed structure: NO_GOVERNED_STRUCTURE_KEY (reads plain scalar evidence); lineage state LINEAGE_ESTABLISHED_DEPENDENT; independence established: False",PASS
A1.6,Earned Schedule (Cost & EVM Performance),timePhasedBaseline,LINEAGE_UNRESOLVED,A2.6,SHARED_GOVERNED_STRUCTURE (same primitive source object),NO,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['timePhasedBaseline']; declared governed structure: timePhasedBaseline; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A1.7,TCPI (Cost & EVM Performance),"ac, bac, ev",LINEAGE_ESTABLISHED_DEPENDENT,none,NONE,YES,YES - voting,KEEP_OPERATIONAL,"primitive sources actually read on the governed corpus: ['ac', 'bac', 'ev']; declared governed structure: NO_GOVERNED_STRUCTURE_KEY (reads plain scalar evidence); lineage state LINEAGE_ESTABLISHED_DEPENDENT; independence established: False",PASS
A1.8,Variance at Completion (Cost & EVM Performance),"bac, cpi",LINEAGE_ESTABLISHED_DEPENDENT,A1.1,PRIMITIVE_SOURCE_SUBSET,YES,YES - voting,KEEP_OPERATIONAL,"primitive sources actually read on the governed corpus: ['bac', 'cpi']; declared governed structure: NO_GOVERNED_STRUCTURE_KEY (reads plain scalar evidence); lineage state LINEAGE_ESTABLISHED_DEPENDENT; independence established: False",PASS
A1.9,Budget Execution Rate (Cost & EVM Performance),"ac, expenditureBaseline",LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,"primitive sources actually read on the governed corpus: ['ac', 'expenditureBaseline']; declared governed structure: expenditureBaseline; lineage state LINEAGE_UNRESOLVED; independence established: False",PASS
A1.10,CPI Shrinkage Forecast (Cost & EVM Performance),cpiReferenceClass,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['cpiReferenceClass']; declared governed structure: cpiReferenceClass; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A1.11,Independent EAC Reconciliation Index (Cost & EVM Performance),independentEacPair,LINEAGE_ESTABLISHED_INDEPENDENT,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['independentEacPair']; declared governed structure: independentEacPair; lineage state LINEAGE_ESTABLISHED_INDEPENDENT; independence established: True,PASS
A2.1,PERT Network Criticality (Schedule Performance),scheduleNetwork,LINEAGE_UNRESOLVED,A2.4,SHARED_GOVERNED_STRUCTURE (same primitive source object),NO,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['scheduleNetwork']; declared governed structure: scheduleNetwork; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A2.2,Line of Balance (Schedule Performance),lobStructure,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['lobStructure']; declared governed structure: lobStructure; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A2.3,CCPM Buffer Health (Schedule Performance),ccpmStructure,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['ccpmStructure']; declared governed structure: ccpmStructure; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A2.4,Schedule Compression Index (Schedule Performance),scheduleNetwork,LINEAGE_UNRESOLVED,A2.1,SHARED_GOVERNED_STRUCTURE (same primitive source object),NO,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['scheduleNetwork']; declared governed structure: scheduleNetwork; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A2.5,Float Consumption Rate (Schedule Performance),scheduleNetwork,LINEAGE_UNRESOLVED,A2.1,SHARED_GOVERNED_STRUCTURE (same primitive source object),NO,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['scheduleNetwork']; declared governed structure: scheduleNetwork; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A2.6,S-Curve Deviation (Schedule Performance),timePhasedBaseline,LINEAGE_UNRESOLVED,A1.6,SHARED_GOVERNED_STRUCTURE (same primitive source object),NO,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['timePhasedBaseline']; declared governed structure: timePhasedBaseline; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A2.7,Milestone Trend Analysis (Schedule Performance),milestoneForecastHistory,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['milestoneForecastHistory']; declared governed structure: milestoneForecastHistory; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A2.8,Look-Ahead Schedule Health (Schedule Performance),lookAheadSchedule,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['lookAheadSchedule']; declared governed structure: lookAheadSchedule; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A2.9,Resource Loading Index (Schedule Performance),resourceProfile,LINEAGE_UNRESOLVED,none,NONE,YES,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['resourceProfile']; declared governed structure: resourceProfile; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A2.10,Schedule Risk Analysis P80 (Schedule Performance),scheduleNetwork,LINEAGE_UNRESOLVED,A2.1,SHARED_GOVERNED_STRUCTURE (same primitive source object),NO,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['scheduleNetwork']; declared governed structure: scheduleNetwork; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
A2.11,Critical Path Index (Schedule Performance),scheduleNetwork,LINEAGE_UNRESOLVED,A2.1,SHARED_GOVERNED_STRUCTURE (same primitive source object),NO,NO - abstains on the current corpus,KEEP_ABSTENTION_CAPABLE,primitive sources actually read on the governed corpus: ['scheduleNetwork']; declared governed structure: scheduleNetwork; lineage state LINEAGE_UNRESOLVED; independence established: False,PASS
