new_id,module_name,old_id,group,group_name,category,category_name,notes
A1.2,CUSUM Anomaly Monitor,1.2,A,Project Health,A1,Cost & EVM Performance,
A1.5,ARIMA CPI Forecast,1.6,A,Project Health,A1,Cost & EVM Performance,
A1.6,Earned Schedule,1.7,A,Project Health,A1,Cost & EVM Performance,
A1.7,TCPI,1.8,A,Project Health,A1,Cost & EVM Performance,
A1.8,Variance at Completion,1.9,A,Project Health,A1,Cost & EVM Performance,
A1.9,Budget Execution Rate,1.10,A,Project Health,A1,Cost & EVM Performance,
A1.11,Independent EAC Reconciliation Index,1.12,A,Project Health,A1,Cost & EVM Performance,
A2.1,PERT Network Criticality,2.1,A,Project Health,A2,Schedule Performance,
A2.7,Milestone Trend Analysis,2.7,A,Project Health,A2,Schedule Performance,
A2.8,Look-Ahead Schedule Health,2.8,A,Project Health,A2,Schedule Performance,
A2.9,Resource Loading Index,2.9,A,Project Health,A2,Schedule Performance,
A3.2,Contingency Burn Rate,3.3,A,Project Health,A3,Cost Risk,
A3.3,Labor Productivity Index,3.4,A,Project Health,A3,Cost Risk,
A3.5,Overhead Absorption Rate,3.6,A,Project Health,A3,Cost Risk,
A3.6,Cost Risk Analysis P80,3.7,A,Project Health,A3,Cost Risk,
A4.2,RFI Velocity,4.2,A,Project Health,A4,Document-Derived Condition Signals,
A4.3,Submittal Rejection Rate,4.3,A,Project Health,A4,Document-Derived Condition Signals,
A4.4,NCR Rate,4.4,A,Project Health,A4,Document-Derived Condition Signals,
A4.5,Weather Day Impact,4.5,A,Project Health,A4,Document-Derived Condition Signals,
A4.6,Change Order Frequency,4.6,A,Project Health,A4,Document-Derived Condition Signals,
A4.7,Dispute Escalation Index,4.7,A,Project Health,A4,Document-Derived Condition Signals,
A4.8,Subcontractor Performance,4.8,A,Project Health,A4,Document-Derived Condition Signals,
A4.9,Procurement Lead Time Monitor,4.9,A,Project Health,A4,Document-Derived Condition Signals,
A6.1,Quality Compliance Index,8.6,A,Project Health,A6,Delivery Quality Performance,moved from former Cat 8 Governance; describes project performance not authority
A6.2,Safety Performance Index,8.7,A,Project Health,A6,Delivery Quality Performance,moved from former Cat 8 Governance; describes project performance not authority
A6.3,Environmental Compliance Rate,8.8,A,Project Health,A6,Delivery Quality Performance,moved from former Cat 8 Governance; describes project performance not authority
A6.4,Contractor Performance Assessment Signal,8.9,A,Project Health,A6,Delivery Quality Performance,moved from former Cat 8 Governance; describes project performance not authority
B1.1,Conservative Dominance,6.1,B,Recommendation & Governance,B1,Signal Synthesis,
B1.2,Weighted Voting,6.2,B,Recommendation & Governance,B1,Signal Synthesis,
B1.3,Majority Rules,6.3,B,Recommendation & Governance,B1,Signal Synthesis,
B1.4,Worst-N-of-M,6.4,B,Recommendation & Governance,B1,Signal Synthesis,
B2.18,MARCOS Ranking,7.18,B,Recommendation & Governance,B2,Evidence Combination,
B3.1,Agent-Based Governance Model,8.1,B,Recommendation & Governance,B3,Regulatory & Authority Thresholds,
B3.2,FAR/Agency EVMS Applicability Monitor,8.2,B,Recommendation & Governance,B3,Regulatory & Authority Thresholds,
B3.3,Versioned A-11 Capital Programming Conformance Check,8.3,B,Recommendation & Governance,B3,Regulatory & Authority Thresholds,
B3.4,EVMS Reporting Compliance Monitor,8.4,B,Recommendation & Governance,B3,Regulatory & Authority Thresholds,
B3.5,Contract Modification Governance Check,8.5,B,Recommendation & Governance,B3,Regulatory & Authority Thresholds,
B4.3,Constraint Satisfaction Analysis,10.3,B,Recommendation & Governance,B4,Decision Optimization,
C1.1,Missing Data Index,9.1,C,Data & Evidence Health,C1,Data Integrity,authoring-time quality gate; not participant-facing; must not enter project status aggregation
C1.2,Data Timeliness Score,9.2,C,Data & Evidence Health,C1,Data Integrity,authoring-time quality gate; not participant-facing; must not enter project status aggregation
C1.3,Source Reliability Weighting,9.3,C,Data & Evidence Health,C1,Data Integrity,authoring-time quality gate; not participant-facing; must not enter project status aggregation
C1.4,Audit Trail Completeness,9.4,C,Data & Evidence Health,C1,Data Integrity,authoring-time quality gate; not participant-facing; must not enter project status aggregation
C1.5,Information Completeness Ratio,9.5,C,Data & Evidence Health,C1,Data Integrity,authoring-time quality gate; not participant-facing; must not enter project status aggregation
C1.6,Cross-document Consistency Score,9.6,C,Data & Evidence Health,C1,Data Integrity,authoring-time quality gate; not participant-facing; must not enter project status aggregation
C1.7,Reporting Frequency Index,9.7,C,Data & Evidence Health,C1,Data Integrity,authoring-time quality gate; not participant-facing; must not enter project status aggregation
RETIRED,Document Risk Extraction,1.3,-,-,-,-,alias of 4.1; consolidated into A4.1
RETIRED,DSM Rework Propagation (Cat 3 entry),3.2,-,-,-,-,alias of 5.1; consolidated into A5.1
