fault,fault_class,mutated_file,oracle,applied,oracle_verdict,oracle_failed_lines,restored_verdict,outcome,intended_reason_fragment,matched_failing_line
1,restore unsafe stored MIME behavior,server/app/main.py,s1,APPLIED,RED,"FAIL  text/html is NOT echoed as Content-Type  — got 'text/html; charset=utf-8' | FAIL  active content served as opaque octet-stream  — got 'text/html; charset=utf-8' | FAIL  active content forced to attachment disposition  — got 'inline; filename=""evil.pdf""' | FAIL  image/svg+xml served as octet-st",GREEN,RED_FOR_INTENDED_REASON,text/html is NOT echoed as Content-Type,FAIL  text/html is NOT echoed as Content-Type  — got 'text/html; charset=utf-8'
2,remove the S1 safe disposition and content handling,server/app/main.py,s1,APPLIED,RED,FAIL  X-Content-Type-Options: nosniff present | FAIL  nosniff present on the PDF path too,GREEN,RED_FOR_INTENDED_REASON,X-Content-Type-Options: nosniff present,FAIL  X-Content-Type-Options: nosniff present
3,permit script/HTML inline execution,server/app/main.py,s1,APPLIED,RED,"FAIL  text/html is NOT echoed as Content-Type  — got 'text/html; charset=utf-8' | FAIL  active content served as opaque octet-stream  — got 'text/html; charset=utf-8' | FAIL  active content forced to attachment disposition  — got 'inline; filename=""evil.pdf""' | FAIL  image/svg+xml served as octet-st",GREEN,RED_FOR_INTENDED_REASON,active content served as opaque octet-stream,FAIL  active content served as opaque octet-stream  — got 'text/html; charset=utf-8'
4,remove the final-lock trigger entirely,server/alembic/versions/0026_final_lock_guard.py,s2,APPLIED,RED,"FAIL  migration 0026 created trg_decisions_final_lock_guard   -- triggers present: ['trg_decisions_pre_lock_guard', 'trg_computed_results_referenced_guard', 'trg_expert_references_lock_guard'] | FAIL  [guard] final_action: raw SQL mutation REFUSED after the final lock   -- succeeded=True marker=Fals",GREEN,RED_FOR_INTENDED_REASON,migration 0026 created trg_decisions_final_lock_guard,"FAIL  migration 0026 created trg_decisions_final_lock_guard   -- triggers present: ['trg_decisions_pre_lock_guard', 'trg_computed_results_referenced_guard', 'trg_expert_references_lock_guard']"
5,omit final_action from the protected set,server/alembic/versions/0026_final_lock_guard.py,s2,APPLIED,RED,"FAIL  [guard] final_action: raw SQL mutation REFUSED after the final lock   -- succeeded=True marker=False unchanged=False err=None | FAIL  every protected field refuses raw mutation after lock (12/13) | FAIL  all protected fields changed in ONE statement: REFUSED, row intact   -- succeeded=False in",GREEN,RED_FOR_INTENDED_REASON,[guard] final_action: raw SQL mutation REFUSED after the final lock,FAIL  [guard] final_action: raw SQL mutation REFUSED after the final lock   -- succeeded=True marker=False unchanged=False err=None
6,omit final_confidence from the protected set,server/alembic/versions/0026_final_lock_guard.py,s2,APPLIED,RED,"FAIL  [guard] final_confidence: raw SQL mutation REFUSED after the final lock   -- succeeded=True marker=False unchanged=False err=None | FAIL  every protected field refuses raw mutation after lock (12/13) | FAIL  all protected fields changed in ONE statement: REFUSED, row intact   -- succeeded=Fals",GREEN,RED_FOR_INTENDED_REASON,[guard] final_confidence: raw SQL mutation REFUSED after the final lock,FAIL  [guard] final_confidence: raw SQL mutation REFUSED after the final lock   -- succeeded=True marker=False unchanged=False err=None
7,omit rationale from the protected set,server/alembic/versions/0026_final_lock_guard.py,s2,APPLIED,RED,"FAIL  [guard] rationale: raw SQL mutation REFUSED after the final lock   -- succeeded=True marker=False unchanged=False err=None | FAIL  every protected field refuses raw mutation after lock (12/13) | FAIL  all protected fields changed in ONE statement: REFUSED, row intact   -- succeeded=False intac",GREEN,RED_FOR_INTENDED_REASON,[guard] rationale: raw SQL mutation REFUSED after the final lock,FAIL  [guard] rationale: raw SQL mutation REFUSED after the final lock   -- succeeded=True marker=False unchanged=False err=None
8,trigger only protects API-shaped writes but raw SQL succeeds,server/alembic/versions/0026_final_lock_guard.py,s2,APPLIED,RED,FAIL  [guard] final_action: raw SQL mutation REFUSED after the final lock   -- succeeded=True marker=False unchanged=False err=None | FAIL  [guard] disposition: raw SQL mutation REFUSED after the final lock   -- succeeded=True marker=False unchanged=False err=None | FAIL  [guard] rationale: raw SQL ,GREEN,RED_FOR_INTENDED_REASON,every protected field refuses raw mutation after lock,FAIL  every protected field refuses raw mutation after lock (0/13)
9,trigger blocks legitimate pre-lock final response entry,server/alembic/versions/0026_final_lock_guard.py,s2,APPLIED,RED,"FAIL  final response entered and final-locked in the governed path (trigger permits it)   -- {'ok': False, 'error': 'Server error: IntegrityError'} | FAIL  stage derives to complete after lock   -- None | FAIL  final_submitted_at is set (the decision IS locked) | FAIL  the stored final response is w",GREEN,RED_FOR_INTENDED_REASON,final response entered and final-locked in the governed path,"FAIL  final response entered and final-locked in the governed path (trigger permits it)   -- {'ok': False, 'error': 'Server error: IntegrityError'}"
10,the S1 fix accidentally breaks legitimate document retrieval,server/app/main.py,s1,APPLIED,RED,FAIL  genuine PDF still served as application/pdf  — got 'application/octet-stream' | FAIL  genuine PDF still served inline (preview preserved),GREEN,RED_FOR_INTENDED_REASON,genuine PDF still served as application/pdf,FAIL  genuine PDF still served as application/pdf  — got 'application/octet-stream'
