fault,failure_mode,injection,named_guard,guard_state,red_for_intended_reason,guard_output,restored_green,counted
1,the retained scalar adaptation becomes a production fallback,APPLIED,run36c.fault01,RED,YES,"FAIL  run36c.fault01.retained_adaptation_not_a_fallback  the retained scalar adaptation cannot be reached from production and cannot become a fallback when the canonical inputs are absent  [gate_checks=[True, True, True, True, True, False, False] state=COMPUTES]",YES,COUNTED
2,A1.1 emits a numeric canonical result without the structure or the mapping,APPLIED,run36c.fault02,RED,YES,"FAIL  run36c.fault02.no_canonical_result_without_the_contract  A1.1 emits no numeric canonical result while its required structure and driver-to-EAC mapping are absent  [{""p50_eac"": null, ""p80_eac"": 1121044.4168552589, ""overrun_pct_p80"": null}]",YES,COUNTED
3,A1.1 emits a status colour,APPLIED,run36c.fault03,RED,YES,FAIL  run36c.fault03.no_status_colour  A1.1 emits no status colour  ['red'],YES,COUNTED
4,A1.1 becomes a voter,APPLIED,run36c.fault04,RED,YES,"FAIL  run36c.fault04.a1_1_does_not_vote  A1.1 does not vote and the voting set is still exactly the two  [['A1.1', 'A1.7', 'A1.8']]",YES,COUNTED
5,defensibility calls the retained adaptation the canonical method,APPLIED,run36c.fault05,RED,YES,"FAIL  run36c.fault05.defensibility_does_not_call_the_adaptation_canonical  the served defensibility record does not describe the retained adaptation as the canonical method  [ name: ""Monte Carlo EAC Forecast"", implementation: ""canonical execution requires the governed cost-driver distribution structure AND an authoritative rule for t]",YES,COUNTED
6,the v24 predecessor stamp is rewritten in the live history,APPLIED,run36c.fault06,RED,YES,"FAIL  run36c.fault06.v24_predecessor_not_rewritten  the v24 predecessor reconstructs from its own git object and still says v24, and v25 was appended beside it rather than over it  [live=sim-2026.08-v25]",YES,COUNTED
7,the version-boundary proof claims a divergence that did not happen,APPLIED,run36c.fault07,RED,YES,"FAIL  run36c.fault07.execution_proof_claims_no_false_divergence  the v24 to v25 proof claims divergence only where both executed lines actually diverged, and exactly one module moved across the boundary  [{""A1.1"": [""DIVERGE"", ""DIVERGED"", ""PASS""], ""A1.7"": [""IDENTICAL"", ""DIVERGED"", ""PASS""], ""A1.8"": [""IDENTICAL"", ""IDENTICAL"", ""PASS""], ""A6.2"": [""IDENTICAL"", ""IDENTICAL"", ""PASS""], ""B4.3"": [""IDENTICAL"", ",YES,COUNTED
8,one Run35/Run36 parsimony discrepancy is silently dropped,APPLIED,run36c.fault08,RED,YES,"FAIL  run36c.fault08.no_discrepancy_silently_dropped  every Run-35 versus Run-36 parsimony discrepancy derived here appears in the reconciliation; one has been silently dropped  [artefact=['A2.1', 'A5.2', 'B2.18', 'B2.9', 'B4.4', 'D1.1'] derived=['A1.6', 'A2.1', 'A5.2', 'B2.18', 'B2.9', 'B4.4', 'D1.1']]",YES,COUNTED
9,the reconciler treats shared lineage as automatically identical method,APPLIED,run36c.fault09,RED,YES,FAIL  run36c.fault09.shared_lineage_is_not_identical_function  the reconciler treats common lineage as an overlap CLASS and never as identity of analytical function  [the COMMON_LINEAGE_ONLY arm is gone],YES,COUNTED
10,the reconciler treats unknown lineage as independent lineage,APPLIED,run36c.fault10,RED,YES,FAIL  run36c.fault10.unknown_lineage_is_not_independent  the reconciler records an absent lineage record as UNRESOLVED and never as independent  [the unresolved arm is gone],YES,COUNTED
11,one project is omitted from the controlled study population,APPLIED,run36c.fault11,RED,YES,"FAIL  run36c.fault11.no_project_omitted  the enumerated study projects number exactly what the owner contract requires; one has been omitted  [5 vs 6: ['PRJ-AIR', 'PRJ-DCT', 'PRJ-HSP', 'PRJ-HWY', 'PRJ-RAL']]",YES,COUNTED
12,one period is omitted from a project,APPLIED,run36c.fault12,RED,YES,"FAIL  run36c.fault12.no_period_omitted  every study project carries all of its governed periods; one has been omitted  [{""PRJ-AIR"": 5, ""PRJ-DCT"": 5, ""PRJ-HSP"": 5, ""PRJ-HWY"": 5, ""PRJ-RAL"": 5, ""PRJ-WTR"": 5}]",YES,COUNTED
13,a duplicate project-period is introduced,APPLIED,run36c.fault13,RED,YES,"FAIL  run36c.fault13.no_duplicate_project_period  the project-period combinations are unique and number exactly what the contract requires; a duplicate has been introduced  [37 rows, 36 unique, contract 36]",YES,COUNTED
14,the record claims a 6x6x36 design the enumerated stimuli do not carry,APPLIED,run36c.fault14,RED,YES,"FAIL  run36c.fault14.reported_counts_match_enumerated_stimuli  the recorded controlled-study counts are the ones enumeration actually produces; the record claims a design the stimuli do not carry  [{""UNIQUE STUDY PROJECTS"": ""6"", ""UNIQUE PERIODS PER PROJECT"": ""6"", ""UNIQUE PROJECT-PERIOD COMBINATIONS"": ""42"", ""DUPLICATE COMBINATIONS"": ""0"", ""MISSING COMBINATIONS"": ""0""}]",YES,COUNTED
15,a freeze candidate is created while a blocking defect remains,APPLIED,run36c.fault15,RED,YES,FAIL  run36c.fault15.no_freeze_while_blocked  no freeze candidate exists while any blocking defect remains; the freeze gate has been opened with a defect standing  [blocking=1 manifest=True companion=False],YES,COUNTED
