fault_id,module/system,invariant,baseline command,mutation target,mutation description,mutation applied?,fault command,process exit code,anchored RESULT present?,expected RED reason,actual RED reason,crash?,unrelated failure?,restored?,restored GREEN?,final status,notes
1,"assets/js/categories.js, B4.7 taxonomy row","the participant-facing taxonomy carries B4.7's CURRENT method-class identifier, the one the runner actually emits",cd server/tools && python3 test_run32_defensibility_truth.py,assets/js/categories.js,"replace ""method_class: 'Minimax_Regret_Decision_Rule'""",YES,cd server/tools && python3 test_run32_defensibility_truth.py,1,YES,assets/js/categories.js: and its method class is the identifier the runner actually emits,assets/js/categories.js: and its method class is the identifier the runner actually emits  [Regret_Minimizatio; assets/js/categories.js: and its method class is the identifier the runner actually emits,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
2,"B4.7 Minimax Regret Decision Rule, served execution statement",a module that returns Not Estimable for want of its governed action-by-scenario matrix is never described as currently computing a project reading,cd server/tools && python3 test_run32_defensibility_truth.py,assets/js/ds_defensibility_evidence.js,"replace '""B4.7"": { name: ""Minimax Regret Decision Rule"", implementation: ""the c'",YES,cd server/tools && python3 test_run32_defensibility_truth.py,1,YES,every served execution statement is the one the module's current route supports,every served execution statement is the one the module's current route supports: a module that does not curren,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
3,"B4.3 Constraint Satisfaction Analysis, canonicalStructureRequired",the machine-readable structure-requirement flag agrees with the sentence beside it and with the canonical layer that declares the structure,cd server/tools && python3 test_run32_defensibility_truth.py,assets/js/ds_defensibility_evidence.js,"replace '""B4.3"": { name: ""Constraint Satisfaction Analysis"", implementation: ""t'",YES,cd server/tools && python3 test_run32_defensibility_truth.py,1,YES,and the machine-readable canonicalStructureRequired agrees with it,"and the machine-readable canonicalStructureRequired agrees with it, so a reader and a program cannot be told d",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
4,"B4.1 Multi-Objective Optimization, a disabled concept-only module",a disabled module produces no live project reading and is never served as one that computes,cd server/tools && python3 test_run32_defensibility_truth.py,assets/js/ds_defensibility_evidence.js,"replace '""B4.1"": { name: ""Multi-Objective Optimization"", implementation: ""the c'",YES,cd server/tools && python3 test_run32_defensibility_truth.py,1,YES,every served operationalState matches the derived state,every served operationalState matches the derived state  [B4.1: served 'COMPUTES_FROM_AVAILABLE_EVIDENCE' vs '; every served operationalState matches the derived state,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
5,"B2.9 Quantum Probability, archived future research",an archived method is kept as part of the research record and is never presented as a runnable current capability,cd server/tools && python3 test_run32_defensibility_truth.py,assets/js/ds_defensibility_evidence.js,"replace '""B2.9"": { name: ""Quantum Probability"", implementation: ""historical imp'",YES,cd server/tools && python3 test_run32_defensibility_truth.py,1,YES,B2.9 Quantum Probability is served as archived research and not as a runnable capability,every served operationalState matches the derived state  [B2.9: served 'CONDITIONAL_ON_GOVERNED_STRUCTURE' vs ; the object distinguishes ARCHIVED_FUTURE_RESEARCH and at least one module carries it  [['COMPUTES_FROM_AVAILAB; B2.9 Quantum Probability is served as archived research and not as a runnable capability  [CONDITIONAL_ON_GOVE; every served operationalState matches the derived state; the object distinguishes ARCHIVED_FUTURE_RESEARCH and at least one module carries it; B2.9 Quantum Probability is served as archived research and not as a runnable capability,NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
6,"A4.1 Document Risk Score, a supplied value","the platform consumes this value; it does not compute it, and the object must not claim an analytical module behind it",cd server/tools && python3 test_run32_defensibility_truth.py,assets/js/ds_defensibility_evidence.js,"replace '""A4.1"": { name: ""Document Risk Score"", implementation: ""the platform c'",YES,cd server/tools && python3 test_run32_defensibility_truth.py,1,YES,A4.1 Document Risk Score is served as a supplied value and not as a server computation,"every served operationalState matches the derived state  [A4.1: served 'COMPUTES_FROM_AVAILABLE_EVIDENCE' vs '; the object distinguishes SUPPLIED_VALUE and at least one module carries it  [['ARCHIVED_FUTURE_RESEARCH', 'COM; A4.1 Document Risk Score is served as a supplied value and not as a server computation  [COMPUTES_FROM_AVAILAB; every served operationalState matches the derived state; the object distinguishes SUPPLIED_VALUE and at least one module carries it; A4.1 Document Risk Score is served as a supplied value and not as a server computation",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
7,"B4.7 canonicalRunner, swapped for the preserved v19 proxy","the served runner is the implementation a production dispatch actually reaches, resolved past the Category-9 boundary, and not a historical proxy",cd server/tools && python3 test_run32_defensibility_truth.py,assets/js/ds_defensibility_evidence.js,"replace '""B4.7"": { name: ""Minimax Regret Decision Rule"", implementation: ""the c'",YES,cd server/tools && python3 test_run32_defensibility_truth.py,1,YES,every served canonicalRunner is the implementation a production dispatch actually reaches,"every served canonicalRunner is the implementation a production dispatch actually reaches, resolved past the q",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
8,"B3.3, omitted from the served defensibility object",every current registry identity has a served defensibility record; a module cannot disappear from the object while remaining in the registry,cd server/tools && python3 test_run32_defensibility_truth.py,assets/js/ds_defensibility_evidence.js,"replace '""B3.3"": { name: ""Versioned A-11 Capital Programming Conformance Check""'",YES,cd server/tools && python3 test_run32_defensibility_truth.py,1,YES,every current registry identity has a served defensibility record,"every current registry identity has a served defensibility record  [['B3.3']]; the two populations are the same size, derived from the registry rather than written down here (101)  [served ; every current registry identity has a served defensibility record; the two populations are the same size, derived from the registry rather than written down here (101)",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
9,a fabricated identity added to the served object,the served object invents no module the registry does not declare,cd server/tools && python3 test_run32_defensibility_truth.py,assets/js/ds_defensibility_evidence.js,replace 'modules: {',YES,cd server/tools && python3 test_run32_defensibility_truth.py,1,YES,and the served object invents no module the registry does not declare,"and the served object invents no module the registry does not declare  [['B9.9']]; the two populations are the same size, derived from the registry rather than written down here (101)  [served ; and the served object invents no module the registry does not declare; the two populations are the same size, derived from the registry rather than written down here (101)",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
10,"og-participant-2026.08-v7, a predecessor record",a predecessor package is never regenerated to match the current tree; it stays pinned to the commit whose blobs it describes,cd server/tools && python3 test_run28_participant_packages.py,code_audit/run32_participant_package_v7_checksums.sha256,replace 'c1786af5181ba7451a86ee0a2375aac6388f21e88733da92dad86a175a9bd3d5  asse',YES,cd server/tools && python3 test_run28_participant_packages.py,1,YES,every one of v7's seventy checksums holds against commit,"every one of v7's seventy checksums holds against commit 93f08bc, which is where that package's bytes live now; and the files v8 moved are exactly the seven it declares, so nothing rode along with the metadata correction  ; and the files v8 moved are exactly the seven it declares, so nothing rode along with the metadata correction",NO,NO,YES,YES,RED_FOR_THE_INTENDED_REASON,clean
