actor,observation,value,raw
second participant,sequence state,"{""period"": null, ""current_stage"": null, ""ok"": true}",
second participant,action vocabulary returned to everyone,"[""defer"", ""escalate"", ""investigate"", ""monitor"", ""re-baseline""]",a substring scan over this cannot detect a leak
second participant,leak of the first participant's rationale,ABSENT,"{""ok"": true, ""current_sequence_number"": null, ""all_assignments_complete"": true, ""intake_completed"": false, ""vocabularies"": {""actions"": [""monitor"", ""investigate"", ""escalate"", ""re-baseline"", ""defer""], """
second participant,leak of the AI recommendation,ABSENT,"{""ok"": true, ""current_sequence_number"": null, ""all_assignments_complete"": true, ""intake_completed"": false, ""vocabularies"": {""actions"": [""monitor"", ""investigate"", ""escalate"", ""re-baseline"", ""defer""], """
second participant,own decision-bearing fields,"{""assignment"": null, ""period"": null, ""current_stage"": null, ""scenario_id"": null, ""evidence_project_id"": null}",
first participant,own record contains the rationale,PRESENT,"[{""period"": ""P1"", ""pre_action"": ""monitor"", ""pre_confidence"": 60, ""pre_locked"": true, ""pre_locked_at"": ""2026-08-14 07:08:40"", ""reveal_at"": ""2026-08-14 07:08:48"", ""final_action"": ""monitor"", ""disposition"
second participant,projectresults on the other's project,REFUSED,"{""ok"": false, ""error"": ""not authorized: not a member of this project""}"
second participant,reveal with no preliminary of their own,REFUSED,"{""ok"": false, ""error"": ""no current assignment""}"
first participant,state after the second participant acted,"{""period"": ""P1"", ""sequence_number"": null, ""current_stage"": ""evidence""}",
invalid session,researchsequencestate,REFUSED,"{""ok"": false, ""error"": ""missing or malformed session token""}"
