gap,check,project_or_problem,period,quantity,recomputed,stored,verdict
A NCR,ncr,PRJ-AIR,P01,ncr_issued_to_date,0,0,agrees
A NCR,ncr,PRJ-AIR,P01,ncr_closed_to_date,0,0,agrees
A NCR,ncr,PRJ-AIR,P01,ncr_open_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-AIR,P01,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-AIR,P01,cumulative_inspections,25,25,agrees
A NCR,ncr,PRJ-AIR,P01,ncr_incidence_per_100_inspections,0.0,0.0,agrees
A NCR,ncr,PRJ-AIR,P01,closure_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-AIR,P01,open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-AIR,P01,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-AIR,P01,mean_open_age_days,0.0,0.0,agrees
A NCR,ncr,PRJ-AIR,P02,ncr_issued_to_date,1,1,agrees
A NCR,ncr,PRJ-AIR,P02,ncr_closed_to_date,1,1,agrees
A NCR,ncr,PRJ-AIR,P02,ncr_open_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-AIR,P02,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-AIR,P02,cumulative_inspections,53,53,agrees
A NCR,ncr,PRJ-AIR,P02,ncr_incidence_per_100_inspections,1.88679245,1.88679245,agrees
A NCR,ncr,PRJ-AIR,P02,closure_ratio,1.0,1.0,agrees
A NCR,ncr,PRJ-AIR,P02,open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-AIR,P02,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-AIR,P02,mean_open_age_days,0.0,0.0,agrees
A NCR,ncr,PRJ-AIR,P03,ncr_issued_to_date,2,2,agrees
A NCR,ncr,PRJ-AIR,P03,ncr_closed_to_date,2,2,agrees
A NCR,ncr,PRJ-AIR,P03,ncr_open_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-AIR,P03,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-AIR,P03,cumulative_inspections,80,80,agrees
A NCR,ncr,PRJ-AIR,P03,ncr_incidence_per_100_inspections,2.5,2.5,agrees
A NCR,ncr,PRJ-AIR,P03,closure_ratio,1.0,1.0,agrees
A NCR,ncr,PRJ-AIR,P03,open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-AIR,P03,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-AIR,P03,mean_open_age_days,0.0,0.0,agrees
A NCR,ncr,PRJ-AIR,P04,ncr_issued_to_date,2,2,agrees
A NCR,ncr,PRJ-AIR,P04,ncr_closed_to_date,2,2,agrees
A NCR,ncr,PRJ-AIR,P04,ncr_open_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-AIR,P04,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-AIR,P04,cumulative_inspections,110,110,agrees
A NCR,ncr,PRJ-AIR,P04,ncr_incidence_per_100_inspections,1.81818182,1.81818182,agrees
A NCR,ncr,PRJ-AIR,P04,closure_ratio,1.0,1.0,agrees
A NCR,ncr,PRJ-AIR,P04,open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-AIR,P04,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-AIR,P04,mean_open_age_days,0.0,0.0,agrees
A NCR,ncr,PRJ-AIR,P05,ncr_issued_to_date,3,3,agrees
A NCR,ncr,PRJ-AIR,P05,ncr_closed_to_date,2,2,agrees
A NCR,ncr,PRJ-AIR,P05,ncr_open_at_cutoff,1,1,agrees
A NCR,ncr,PRJ-AIR,P05,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-AIR,P05,cumulative_inspections,143,143,agrees
A NCR,ncr,PRJ-AIR,P05,ncr_incidence_per_100_inspections,2.0979021,2.0979021,agrees
A NCR,ncr,PRJ-AIR,P05,closure_ratio,0.66666667,0.66666667,agrees
A NCR,ncr,PRJ-AIR,P05,open_ratio,0.33333333,0.33333333,agrees
A NCR,ncr,PRJ-AIR,P05,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-AIR,P05,mean_open_age_days,14.0,14.0,agrees
A NCR,ncr,PRJ-AIR,P06,ncr_issued_to_date,6,6,agrees
A NCR,ncr,PRJ-AIR,P06,ncr_closed_to_date,4,4,agrees
A NCR,ncr,PRJ-AIR,P06,ncr_open_at_cutoff,2,2,agrees
A NCR,ncr,PRJ-AIR,P06,ncr_overdue_at_cutoff,1,1,agrees
A NCR,ncr,PRJ-AIR,P06,cumulative_inspections,180,180,agrees
A NCR,ncr,PRJ-AIR,P06,ncr_incidence_per_100_inspections,3.33333333,3.33333333,agrees
A NCR,ncr,PRJ-AIR,P06,closure_ratio,0.66666667,0.66666667,agrees
A NCR,ncr,PRJ-AIR,P06,open_ratio,0.33333333,0.33333333,agrees
A NCR,ncr,PRJ-AIR,P06,overdue_open_ratio,0.5,0.5,agrees
A NCR,ncr,PRJ-AIR,P06,mean_open_age_days,44.0,44.0,agrees
A NCR,ncr,PRJ-HWY,P01,ncr_issued_to_date,1,1,agrees
A NCR,ncr,PRJ-HWY,P01,ncr_closed_to_date,0,0,agrees
A NCR,ncr,PRJ-HWY,P01,ncr_open_at_cutoff,1,1,agrees
A NCR,ncr,PRJ-HWY,P01,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-HWY,P01,cumulative_inspections,25,25,agrees
A NCR,ncr,PRJ-HWY,P01,ncr_incidence_per_100_inspections,4.0,4.0,agrees
A NCR,ncr,PRJ-HWY,P01,closure_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-HWY,P01,open_ratio,1.0,1.0,agrees
A NCR,ncr,PRJ-HWY,P01,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-HWY,P01,mean_open_age_days,9.0,9.0,agrees
A NCR,ncr,PRJ-HWY,P02,ncr_issued_to_date,2,2,agrees
A NCR,ncr,PRJ-HWY,P02,ncr_closed_to_date,1,1,agrees
A NCR,ncr,PRJ-HWY,P02,ncr_open_at_cutoff,1,1,agrees
A NCR,ncr,PRJ-HWY,P02,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-HWY,P02,cumulative_inspections,52,52,agrees
A NCR,ncr,PRJ-HWY,P02,ncr_incidence_per_100_inspections,3.84615385,3.84615385,agrees
A NCR,ncr,PRJ-HWY,P02,closure_ratio,0.5,0.5,agrees
A NCR,ncr,PRJ-HWY,P02,open_ratio,0.5,0.5,agrees
A NCR,ncr,PRJ-HWY,P02,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-HWY,P02,mean_open_age_days,9.0,9.0,agrees
A NCR,ncr,PRJ-HWY,P03,ncr_issued_to_date,7,7,agrees
A NCR,ncr,PRJ-HWY,P03,ncr_closed_to_date,2,2,agrees
A NCR,ncr,PRJ-HWY,P03,ncr_open_at_cutoff,5,5,agrees
A NCR,ncr,PRJ-HWY,P03,ncr_overdue_at_cutoff,0,0,agrees
A NCR,ncr,PRJ-HWY,P03,cumulative_inspections,81,81,agrees
A NCR,ncr,PRJ-HWY,P03,ncr_incidence_per_100_inspections,8.64197531,8.64197531,agrees
A NCR,ncr,PRJ-HWY,P03,closure_ratio,0.28571429,0.28571429,agrees
A NCR,ncr,PRJ-HWY,P03,open_ratio,0.71428571,0.71428571,agrees
A NCR,ncr,PRJ-HWY,P03,overdue_open_ratio,0.0,0.0,agrees
A NCR,ncr,PRJ-HWY,P03,mean_open_age_days,8.8,8.8,agrees
A NCR,ncr,PRJ-HWY,P04,ncr_issued_to_date,7,7,agrees
