module_id,canonical_name,layer,category,enabled,disabled,voting,implementation_path,expected_method_from_registry,actual_method_implemented,required_inputs,canonical_structure_required,canonical_structure_used,test_cases_executed,nominal_result,expected_nominal_result,boundary_result,domain_result,missingness_result,malformed_input_result,canonical_structure_result,property_test_result,real_execution_path_result,mutation_proof_result,browser_parity_if_applicable,portfolio_behavior_if_applicable,observed_discrepancies,defect_class_if_observed,severity_if_observed,oracle_source,oracle_confidence,verification_limitations,production_change_required_to_match_current_contract,factual_result
A1.1,Monte Carlo EAC,PROJECT,A1,YES,NO,NO,server/app/simulation/models.py::run_monte_carlo_module,Monte Carlo EAC,models.run_monte_carlo_module,,,,4,"computed, band Red",value fixed by a committed hand-derived known-answer case,"0 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,0 single-input removals exercised; no removal improved the reading,6 malformed values x 0 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed, in the helper it delegates to (3 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run2_fifteen_defects.py, test_run8_retest_classify_27.py",MEDIUM,stochastic: exercised on the fixed seeded generator,,MATCH
A1.2,CUSUM Anomaly Monitor,PROJECT,A1,YES,NO,NO,server/app/simulation/models.py::run_cusum_module,CUSUM Anomaly Monitor,"models.run_cusum_module (proxy: hard-coded transformations of two-sided CUSUM on real SPI history; k, H, sigma f)",,,,4,ABSTAINED: Awaiting history (2 periods needed),NOT INDEPENDENTLY ESTABLISHED: no committed hand-derived expected value and no governed reference value for this module,"0 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,0 single-input removals exercised; no removal improved the reading,6 malformed values x 0 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; abstention carries a reader sentence,"abstained on compute_project, reason recorded","PROVEN: every branch guard inverted, in the helper it delegates to (2 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); NO independent numeric oracle",LOW,"stochastic: exercised on the fixed seeded generator; contract dimensions all conform, but no independent numeric oracle exists for the nominal value, so the reading itself is unverified",,NOT_TESTABLE
A1.3,Bayesian EAC,PROJECT,A1,YES,NO,NO,server/app/simulation/models_evm.py::run_bayesian_eac,Bayesian EAC,"models_evm.run_bayesian_eac (proxy: Normal-normal updating with designed constant variances, not a governed Bayesian)","bac, cpi",,,26,"computed, band Yellow",value fixed by a committed hand-derived known-answer case,"2 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative","every reachable out-of-domain value contained; no upper bound on an unbounded quantity, a very large value bands better: cpi",2 single-input removals exercised; no removal improved the reading,6 malformed values x 2 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: bac='not-a-number':TypeError; bac=nan:ValueError; bac=inf:ZeroDivisionError,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (4 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run6_known_answer.py",MEDIUM,,,MATCH
A1.4,Kalman Filter SPI Smoother,PROJECT,A1,YES,NO,NO,server/app/simulation/models_evm.py::run_kalman_filter,Kalman Filter SPI Smoother,"models_evm.run_kalman_filter (proxy: Scalar Kalman recursion with fixed Q and R, short history, no calibrated filteri)",,,,4,ABSTAINED: Awaiting history (2 periods needed),value fixed by a committed hand-derived known-answer case,"0 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,0 single-input removals exercised; no removal improved the reading,6 malformed values x 0 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; abstention carries a reader sentence,"abstained on compute_project, reason recorded","PROVEN: comparison operators reversed (6 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run6_known_answer.py",MEDIUM,,,MATCH
A1.5,ARIMA CPI Forecast,PROJECT,A1,YES,NO,NO,server/app/simulation/models_evm.py::run_arima_forecast,ARIMA CPI Forecast,models_evm.run_arima_forecast,,,,4,ABSTAINED: Awaiting history (3 periods needed),value fixed by a committed hand-derived known-answer case,"0 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,0 single-input removals exercised; no removal improved the reading,6 malformed values x 0 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; abstention carries a reader sentence,"abstained on compute_project, reason recorded","PROVEN: comparison operators reversed (7 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run10_bucket2_corrections.py, test_run8_retest_classify_27.py",MEDIUM,,,MATCH
A1.6,Earned Schedule,PROJECT,A1,YES,NO,NO,server/app/simulation/models_evm.py::run_earned_schedule,Earned Schedule,models_evm.run_earned_schedule,"actualPctComplete, baselineEnd, baselineStart, plannedPctComplete",,,40,"computed, band Amber",value fixed by a committed hand-derived known-answer case,"2 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,4 single-input removals exercised; no removal improved the reading,6 malformed values x 4 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (6 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run10_bucket2_corrections.py, test_run8_retest_classify_27.py",MEDIUM,,,MATCH
A1.7,TCPI,PROJECT,A1,YES,NO,YES,server/app/simulation/models_evm.py::run_tcpi,TCPI,models_evm.run_tcpi,"ac, bac, ev",,,37,"computed, band Amber",value fixed by a committed hand-derived known-answer case,"3 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative","every reachable out-of-domain value contained; no upper bound on an unbounded quantity, a very large value bands better: ac",3 single-input removals exercised; no removal improved the reading,6 malformed values x 3 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (9 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run13_module_evidence.py (hand-derived in this run)",MEDIUM,,,MATCH
A1.8,Variance at Completion,PROJECT,A1,YES,NO,YES,server/app/simulation/models_evm.py::run_vac,Variance at Completion,models_evm.run_vac,"bac, cpi",,,26,"computed, band Amber",value fixed by a committed hand-derived known-answer case,"2 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative","every reachable out-of-domain value contained; no upper bound on an unbounded quantity, a very large value bands better: cpi",2 single-input removals exercised; no removal improved the reading,6 malformed values x 2 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: bac='not-a-number':TypeError; bac=[]:TypeError; bac={}:TypeError,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (4 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run13_module_evidence.py (hand-derived in this run)",MEDIUM,,,MATCH
A1.9,Budget Execution Rate,PROJECT,A1,YES,NO,NO,server/app/simulation/models_evm.py::run_budget_execution,Budget Execution Rate,"models_evm.run_budget_execution (proxy: an expenditure-versus-progress control ratio, not a standardised statistical tes)","ac, actualPctComplete, bac",,,37,"computed, band Green",value fixed by a committed hand-derived known-answer case,"3 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,3 single-input removals exercised; no removal improved the reading,6 malformed values x 3 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (9 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run6_known_answer.py",MEDIUM,,,MATCH
A1.10,Regression to Mean CPI,PROJECT,A1,YES,NO,NO,server/app/simulation/models_evm.py::run_regression_to_mean,Regression to Mean CPI,models_evm.run_regression_to_mean (proxy: fixed 50 per cent shrinkage toward historical mean; coefficient not estimated),,,,4,ABSTAINED: Awaiting history (2 periods needed),value fixed by a committed hand-derived known-answer case,"0 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,0 single-input removals exercised; no removal improved the reading,6 malformed values x 0 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; abstention carries a reader sentence,"abstained on compute_project, reason recorded","PROVEN: comparison operators reversed (4 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run6_known_answer.py",MEDIUM,,,MATCH
A1.11,ICE Ratio,PROJECT,A1,YES,NO,NO,server/app/simulation/models_evm.py::run_ice_ratio,ICE Ratio,models_evm.run_ice_ratio,"ac, bac, cpi, ev",,,48,"computed, band Yellow",value fixed by a committed hand-derived known-answer case,"4 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,4 single-input removals exercised; no removal improved the reading,6 malformed values x 4 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: ac='not-a-number':TypeError; ac=[]:TypeError; ac={}:TypeError,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (5 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run10_bucket2_corrections.py, test_run8_retest_classify_27.py",MEDIUM,,,MATCH
A2.1,PERT Network Criticality,PROJECT,A2,YES,NO,NO,server/app/simulation/models.py::run_pert,PERT Network Criticality,models.run_pert,,,,4,"ABSTAINED: This method needs the project's activity network: the activities, the logic between them and a three-point duration for each. No such network has been recorded ",value fixed by a committed hand-derived known-answer case,"0 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,0 single-input removals exercised; no removal improved the reading,6 malformed values x 0 inputs; a null value is contained,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; abstention carries a reader sentence,"abstained on compute_project, reason recorded",UNCONDITIONAL_ABSTENTION_NO_FAULT_POSSIBLE: no fault site exists,recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run10_bucket2_corrections.py, test_run7_fix_now_defects.py, test_run8_retest_classify_27.py",MEDIUM,stochastic: exercised on the fixed seeded generator,,MATCH
A2.2,Line of Balance,PROJECT,A2,YES,NO,NO,server/app/simulation/models.py::run_lob,Line of Balance,models.run_lob,,lobStructure,lobStructure,9,"computed, band Green",value fixed by a committed hand-derived known-answer case,"0 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,0 single-input removals exercised; no removal improved the reading,6 malformed values x 0 inputs; a null value is contained,abstains without the structure and computes with it,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (2 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run10b_canonical_integration.py, test_run7_fix_now_defects.py, test_run8_retest_classify_27.py",MEDIUM,,,MATCH
A2.3,CCPM Buffer Health,PROJECT,A2,YES,NO,NO,server/app/simulation/models.py::run_ccpm,CCPM Buffer Health,models.run_ccpm,,ccpmStructure,ccpmStructure,9,"computed, band Amber",value fixed by a committed hand-derived known-answer case,"0 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative",every reachable out-of-domain value contained,0 single-input removals exercised; no removal improved the reading,6 malformed values x 0 inputs; a null value is contained,abstains without the structure and computes with it,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (2 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run10b_canonical_integration.py, test_run7_fix_now_defects.py, test_run8_retest_classify_27.py",MEDIUM,,,MATCH
A2.4,Schedule Compression Index,PROJECT,A2,YES,NO,NO,server/app/simulation/models_ext.py::run_schedule_compression,Schedule Compression Index,models_ext.run_schedule_compression (proxy: a custom compression ratio; no network-based crashing model or calibrated bands),"actualPctComplete, baselineEnd, baselineStart, spi",,,40,"computed, band Yellow",value fixed by a committed hand-derived known-answer case,"2 numeric inputs driven to zero, impossible, extreme and near-zero, and to negative where the field contract permits a negative","every reachable out-of-domain value contained; no upper bound on an unbounded quantity, a very large value bands better: spi",4 single-input removals exercised; no removal improved the reading,6 malformed values x 4 inputs; a null value is contained; not contained in the analytical layer but refused upstream by the numeric contract: actualPctComplete='not-a-number':TypeError; actualPctComplete=nan:ValueError; actualPctComplete=[]:TypeError,NOT_APPLICABLE: no defining structure declared,deterministic on an identical input; band is inside the governed four-band vocabulary; abstention carries a reader sentence,computed on compute_project,"PROVEN: comparison operators reversed (5 sites, isolated copy)",recorded by the Gate 10 pass,,,,,"contract oracle: registry, canonical and abstention contracts (independent of production arithmetic); numeric oracle: hand-derived literals in test_run6_known_answer.py, test_run7_fix_now_defects.py",MEDIUM,,,MATCH
