module_id,module_name,category,run17_disposition,run18_disposition,analytical_result_moved,reexecuted_by,production_change_since_run17,note
1.1,Monte Carlo EAC,1,METHOD_PASS_CALIBRATION_PENDING,METHOD_PASS_CALIBRATION_PENDING,no,server/tools/test_run17_scientific_methods.py,none: production bytes identical to the Run-17 merge commit,"Re-executed against the corrected baseline. Same specification, same oracle, same disposition. The suite reports 250 of 250 checks and every module's named checks are among them, so no analytical result moved."
1.2,CUSUM Anomaly Monitor,1,METHOD_PASS_CALIBRATION_PENDING,METHOD_PASS_CALIBRATION_PENDING,no,server/tools/test_run17_scientific_methods.py,none: production bytes identical to the Run-17 merge commit,"Re-executed against the corrected baseline. Same specification, same oracle, same disposition. The suite reports 250 of 250 checks and every module's named checks are among them, so no analytical result moved."
1.3,Bayesian EAC,1,METHOD_PASS_CALIBRATION_PENDING,METHOD_PASS_CALIBRATION_PENDING,no,server/tools/test_run17_scientific_methods.py,none: production bytes identical to the Run-17 merge commit,"Re-executed against the corrected baseline. Same specification, same oracle, same disposition. The suite reports 250 of 250 checks and every module's named checks are among them, so no analytical result moved."
1.4,Kalman Filter SPI Smoother,1,METHOD_PASS_CALIBRATION_PENDING,METHOD_PASS_CALIBRATION_PENDING,no,server/tools/test_run17_scientific_methods.py,none: production bytes identical to the Run-17 merge commit,"Re-executed against the corrected baseline. Same specification, same oracle, same disposition. The suite reports 250 of 250 checks and every module's named checks are among them, so no analytical result moved."
1.5,ARIMA CPI Forecast,1,METHOD_LABEL_MISMATCH,METHOD_LABEL_MISMATCH,no,server/tools/test_run17_scientific_methods.py,none: production bytes identical to the Run-17 merge commit,"Re-executed against the corrected baseline. Same specification, same oracle, same disposition. The suite reports 250 of 250 checks and every module's named checks are among them, so no analytical result moved."
1.6,Earned Schedule,1,METHOD_LABEL_MISMATCH,METHOD_LABEL_MISMATCH,no,server/tools/test_run17_scientific_methods.py,none: production bytes identical to the Run-17 merge commit,"Re-executed against the corrected baseline. Same specification, same oracle, same disposition. The suite reports 250 of 250 checks and every module's named checks are among them, so no analytical result moved."
1.7,TCPI,1,SCIENTIFIC_PASS,SCIENTIFIC_PASS,no,server/tools/test_run17_scientific_methods.py,none: production bytes identical to the Run-17 merge commit,"Re-executed against the corrected baseline. Same specification, same oracle, same disposition. The suite reports 250 of 250 checks and every module's named checks are among them, so no analytical result moved."
1.8,Variance at Completion,1,SCIENTIFIC_PASS,SCIENTIFIC_PASS,no,server/tools/test_run17_scientific_methods.py,none: production bytes identical to the Run-17 merge commit,"Re-executed against the corrected baseline. Same specification, same oracle, same disposition. The suite reports 250 of 250 checks and every module's named checks are among them, so no analytical result moved."
1.9,Budget Execution Rate,1,CORRECT_PROXY_ONLY,CORRECT_PROXY_ONLY,no,server/tools/test_run17_scientific_methods.py,none: production bytes identical to the Run-17 merge commit,"Re-executed against the corrected baseline. Same specification, same oracle, same disposition. The suite reports 250 of 250 checks and every module's named checks are among them, so no analytical result moved."
1.10,Regression to Mean CPI,1,MISSING_CANONICAL_DATA_STRUCTURE,MISSING_CANONICAL_DATA_STRUCTURE,no,server/tools/test_run17_scientific_methods.py,none: production bytes identical to the Run-17 merge commit,"Re-executed against the corrected baseline. Same specification, same oracle, same disposition. The suite reports 250 of 250 checks and every module's named checks are among them, so no analytical result moved."
1.11,ICE Ratio,1,METHOD_LABEL_MISMATCH,METHOD_LABEL_MISMATCH,no,server/tools/test_run17_scientific_methods.py,none: production bytes identical to the Run-17 merge commit,"Re-executed against the corrected baseline. Same specification, same oracle, same disposition. The suite reports 250 of 250 checks and every module's named checks are among them, so no analytical result moved."
6.1,Conservative Dominance,6,IMPLEMENTATION_DEFECT,IMPLEMENTATION_DEFECT,no,server/tools/test_run17_scientific_methods.py,none: production bytes identical to the Run-17 merge commit,"Re-executed against the corrected baseline. Same specification, same oracle, same disposition. The suite reports 250 of 250 checks and every module's named checks are among them, so no analytical result moved."
6.2,Weighted Voting,6,METHOD_LABEL_MISMATCH,METHOD_LABEL_MISMATCH,no,server/tools/test_run17_scientific_methods.py,none: production bytes identical to the Run-17 merge commit,"Re-executed against the corrected baseline. Same specification, same oracle, same disposition. The suite reports 250 of 250 checks and every module's named checks are among them, so no analytical result moved."
