module_id,module_name,category,run17_disposition,run18_outcome,committed_theory_available,blocking_reason,required_next_action
2.1,PERT Network Criticality,2,NOT_REACHED_IN_THIS_RUN,NOT_ASSESSED_IN_RUN_18,no,"GATE_7_BLOCKED_NO_COMMITTED_THEORETICAL_CONTRACT: the Run-17 supervisory method specification is source S1 in source_ledger.csv, recorded there as SUPPLIED_IN_PROMPT and never committed to this repository. It was not supplied to Run 18. This module's method_cards.json entry is an empty stub with no method, primary source, formal definition or oracle. The only in-repository description of the method is the Group compendium, which is a regenerated export of the production function body, so using it would reconstruct the theory from production code and would assert the method against a copy of its own implementation. Owner stop condition applied: a method lacks an independently defensible theoretical contract.","Run 19, once the supervisory method specification is committed to the repository or an equivalent independently defensible contract is supplied per module."
2.2,Line of Balance,2,NOT_REACHED_IN_THIS_RUN,NOT_ASSESSED_IN_RUN_18,no,"GATE_7_BLOCKED_NO_COMMITTED_THEORETICAL_CONTRACT: the Run-17 supervisory method specification is source S1 in source_ledger.csv, recorded there as SUPPLIED_IN_PROMPT and never committed to this repository. It was not supplied to Run 18. This module's method_cards.json entry is an empty stub with no method, primary source, formal definition or oracle. The only in-repository description of the method is the Group compendium, which is a regenerated export of the production function body, so using it would reconstruct the theory from production code and would assert the method against a copy of its own implementation. Owner stop condition applied: a method lacks an independently defensible theoretical contract.","Run 19, once the supervisory method specification is committed to the repository or an equivalent independently defensible contract is supplied per module."
2.3,CCPM Buffer Health,2,NOT_REACHED_IN_THIS_RUN,NOT_ASSESSED_IN_RUN_18,no,"GATE_7_BLOCKED_NO_COMMITTED_THEORETICAL_CONTRACT: the Run-17 supervisory method specification is source S1 in source_ledger.csv, recorded there as SUPPLIED_IN_PROMPT and never committed to this repository. It was not supplied to Run 18. This module's method_cards.json entry is an empty stub with no method, primary source, formal definition or oracle. The only in-repository description of the method is the Group compendium, which is a regenerated export of the production function body, so using it would reconstruct the theory from production code and would assert the method against a copy of its own implementation. Owner stop condition applied: a method lacks an independently defensible theoretical contract.","Run 19, once the supervisory method specification is committed to the repository or an equivalent independently defensible contract is supplied per module."
2.4,Schedule Compression Index,2,NOT_REACHED_IN_THIS_RUN,NOT_ASSESSED_IN_RUN_18,no,"GATE_7_BLOCKED_NO_COMMITTED_THEORETICAL_CONTRACT: the Run-17 supervisory method specification is source S1 in source_ledger.csv, recorded there as SUPPLIED_IN_PROMPT and never committed to this repository. It was not supplied to Run 18. This module's method_cards.json entry is an empty stub with no method, primary source, formal definition or oracle. The only in-repository description of the method is the Group compendium, which is a regenerated export of the production function body, so using it would reconstruct the theory from production code and would assert the method against a copy of its own implementation. Owner stop condition applied: a method lacks an independently defensible theoretical contract.","Run 19, once the supervisory method specification is committed to the repository or an equivalent independently defensible contract is supplied per module."
2.5,Float Consumption Rate,2,NOT_REACHED_IN_THIS_RUN,NOT_ASSESSED_IN_RUN_18,no,"GATE_7_BLOCKED_NO_COMMITTED_THEORETICAL_CONTRACT: the Run-17 supervisory method specification is source S1 in source_ledger.csv, recorded there as SUPPLIED_IN_PROMPT and never committed to this repository. It was not supplied to Run 18. This module's method_cards.json entry is an empty stub with no method, primary source, formal definition or oracle. The only in-repository description of the method is the Group compendium, which is a regenerated export of the production function body, so using it would reconstruct the theory from production code and would assert the method against a copy of its own implementation. Owner stop condition applied: a method lacks an independently defensible theoretical contract.","Run 19, once the supervisory method specification is committed to the repository or an equivalent independently defensible contract is supplied per module."
2.6,S-Curve Deviation,2,NOT_REACHED_IN_THIS_RUN,NOT_ASSESSED_IN_RUN_18,no,"GATE_7_BLOCKED_NO_COMMITTED_THEORETICAL_CONTRACT: the Run-17 supervisory method specification is source S1 in source_ledger.csv, recorded there as SUPPLIED_IN_PROMPT and never committed to this repository. It was not supplied to Run 18. This module's method_cards.json entry is an empty stub with no method, primary source, formal definition or oracle. The only in-repository description of the method is the Group compendium, which is a regenerated export of the production function body, so using it would reconstruct the theory from production code and would assert the method against a copy of its own implementation. Owner stop condition applied: a method lacks an independently defensible theoretical contract.","Run 19, once the supervisory method specification is committed to the repository or an equivalent independently defensible contract is supplied per module."
2.7,Milestone Trend Analysis,2,NOT_REACHED_IN_THIS_RUN,NOT_ASSESSED_IN_RUN_18,no,"GATE_7_BLOCKED_NO_COMMITTED_THEORETICAL_CONTRACT: the Run-17 supervisory method specification is source S1 in source_ledger.csv, recorded there as SUPPLIED_IN_PROMPT and never committed to this repository. It was not supplied to Run 18. This module's method_cards.json entry is an empty stub with no method, primary source, formal definition or oracle. The only in-repository description of the method is the Group compendium, which is a regenerated export of the production function body, so using it would reconstruct the theory from production code and would assert the method against a copy of its own implementation. Owner stop condition applied: a method lacks an independently defensible theoretical contract.","Run 19, once the supervisory method specification is committed to the repository or an equivalent independently defensible contract is supplied per module."
2.8,Look-Ahead Schedule Health,2,NOT_REACHED_IN_THIS_RUN,NOT_ASSESSED_IN_RUN_18,no,"GATE_7_BLOCKED_NO_COMMITTED_THEORETICAL_CONTRACT: the Run-17 supervisory method specification is source S1 in source_ledger.csv, recorded there as SUPPLIED_IN_PROMPT and never committed to this repository. It was not supplied to Run 18. This module's method_cards.json entry is an empty stub with no method, primary source, formal definition or oracle. The only in-repository description of the method is the Group compendium, which is a regenerated export of the production function body, so using it would reconstruct the theory from production code and would assert the method against a copy of its own implementation. Owner stop condition applied: a method lacks an independently defensible theoretical contract.","Run 19, once the supervisory method specification is committed to the repository or an equivalent independently defensible contract is supplied per module."
2.9,Resource Loading Index,2,NOT_REACHED_IN_THIS_RUN,NOT_ASSESSED_IN_RUN_18,no,"GATE_7_BLOCKED_NO_COMMITTED_THEORETICAL_CONTRACT: the Run-17 supervisory method specification is source S1 in source_ledger.csv, recorded there as SUPPLIED_IN_PROMPT and never committed to this repository. It was not supplied to Run 18. This module's method_cards.json entry is an empty stub with no method, primary source, formal definition or oracle. The only in-repository description of the method is the Group compendium, which is a regenerated export of the production function body, so using it would reconstruct the theory from production code and would assert the method against a copy of its own implementation. Owner stop condition applied: a method lacks an independently defensible theoretical contract.","Run 19, once the supervisory method specification is committed to the repository or an equivalent independently defensible contract is supplied per module."
2.10,Schedule Risk Analysis P80,2,NOT_REACHED_IN_THIS_RUN,NOT_ASSESSED_IN_RUN_18,no,"GATE_7_BLOCKED_NO_COMMITTED_THEORETICAL_CONTRACT: the Run-17 supervisory method specification is source S1 in source_ledger.csv, recorded there as SUPPLIED_IN_PROMPT and never committed to this repository. It was not supplied to Run 18. This module's method_cards.json entry is an empty stub with no method, primary source, formal definition or oracle. The only in-repository description of the method is the Group compendium, which is a regenerated export of the production function body, so using it would reconstruct the theory from production code and would assert the method against a copy of its own implementation. Owner stop condition applied: a method lacks an independently defensible theoretical contract.","Run 19, once the supervisory method specification is committed to the repository or an equivalent independently defensible contract is supplied per module."
