module_id,module_name,category,registered,scientific_target,supplied_or_computed,current_operational_state,canonical_method_established,declared_governed_structure_key,governed_structure_available_on_corpus,calibration_state,parameter_provenance_state,real_corpus_execution_state,voting,legacy_route_reachable,run35_validation_eligibility
A1.1,Monte Carlo EAC Forecast,Cost & EVM Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,costDriverDistributions,NO,NO_CALIBRATION_SET,UNSUPPORTED,COMPUTES,NO,N/A,CALIBRATION_GAP_BLOCKS_VALIDATION
A1.2,CUSUM Anomaly Monitor,Cost & EVM Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO_GOVERNED_STRUCTURE_KEY (reads plain scalar evidence),N/A_NO_GOVERNED_STRUCTURE_REQUIRED,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A1.3,Bayesian EAC,Cost & EVM Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,bayesianEacModel,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A1.4,Kalman Filter SPI Smoother,Cost & EVM Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,kalmanStateSpaceModel,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A1.5,ARIMA CPI Forecast,Cost & EVM Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,NO_GOVERNED_STRUCTURE_KEY (reads plain scalar evidence),N/A_NO_GOVERNED_STRUCTURE_REQUIRED,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A1.6,Earned Schedule,Cost & EVM Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,timePhasedBaseline,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A1.7,TCPI,Cost & EVM Performance,YES,YES,COMPUTED,ENABLED_QUALIFIED,YES,NO_GOVERNED_STRUCTURE_KEY (reads plain scalar evidence),N/A_NO_GOVERNED_STRUCTURE_REQUIRED,PUBLISHED_METHOD_PARAMETER,PUBLISHED_METHOD_PARAMETER,COMPUTES,YES,N/A,PARTIAL_REFERENCE_STANDARD
A1.8,Variance at Completion,Cost & EVM Performance,YES,YES,COMPUTED,ENABLED_QUALIFIED,YES,NO_GOVERNED_STRUCTURE_KEY (reads plain scalar evidence),N/A_NO_GOVERNED_STRUCTURE_REQUIRED,PUBLISHED_METHOD_PARAMETER,PUBLISHED_METHOD_PARAMETER,COMPUTES,YES,N/A,PARTIAL_REFERENCE_STANDARD
A1.9,Budget Execution Rate,Cost & EVM Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,expenditureBaseline,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A1.10,CPI Shrinkage Forecast,Cost & EVM Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,cpiReferenceClass,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A1.11,Independent EAC Reconciliation Index,Cost & EVM Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,independentEacPair,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A2.1,PERT Network Criticality,Schedule Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,scheduleNetwork,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A2.2,Line of Balance,Schedule Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,lobStructure,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A2.3,CCPM Buffer Health,Schedule Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,ccpmStructure,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A2.4,Schedule Compression Index,Schedule Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,scheduleNetwork,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A2.5,Float Consumption Rate,Schedule Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,scheduleNetwork,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A2.6,S-Curve Deviation,Schedule Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,timePhasedBaseline,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A2.7,Milestone Trend Analysis,Schedule Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,milestoneForecastHistory,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A2.8,Look-Ahead Schedule Health,Schedule Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,lookAheadSchedule,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A2.9,Resource Loading Index,Schedule Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,resourceProfile,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A2.10,Schedule Risk Analysis P80,Schedule Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,scheduleNetwork,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
A2.11,Critical Path Index,Schedule Performance,YES,YES,COMPUTED,ADVISORY_ONLY,YES,scheduleNetwork,NO,NO_CALIBRATION_SET,UNSUPPORTED,ABSTAINS,NO,N/A,STRUCTURE_OR_DATA_ABSENT
