module_id,module_name,prior_claim,evidence_available,corrected_claim,qualification,registry_derived,result,implementation_status,known_answer_verification_status,boundary_test_status,band_source_status,calibration_status,empirical_validation_status,canonical_structure_status,voting_status,permitted_claim
A1.1,Monte Carlo EAC,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A1.2,CUSUM Anomaly Monitor,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,"Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: hard-coded transformations of two-sided CUSUM on real SPI history; k, H, sigma floor and Amber band uncalibrated.",yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A1.3,Bayesian EAC,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,"Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: Normal-normal updating with designed constant variances, not a governed Bayesian model.",yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A1.4,Kalman Filter SPI Smoother,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,"Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: Scalar Kalman recursion with fixed Q and R, short history, no calibrated filtering claim.",yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A1.5,ARIMA CPI Forecast,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A1.6,Earned Schedule,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: none in the repository; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Implemented as stated. No independent verification of its arithmetic is held in the repository.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,QUALIFIED,implemented and computed by the server,none in the repository,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Implemented as stated. No independent verification of its arithmetic is held in the repository.
A1.7,TCPI,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 4 validate-the-seven suite; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 4 validate-the-seven suite,domain and boundary enumeration recorded in a committed audit artefact,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,votes on the governed status,Arithmetic independently verified for the stated formula.
A1.8,Variance at Completion,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 4 validate-the-seven suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 4 validate-the-seven suite,none in the repository,band boundaries sourced or definitional; see the module's band note,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,votes on the governed status,Arithmetic independently verified for the stated formula.
A1.9,Budget Execution Rate,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: domain and boundary enumeration recorded in a committed audit artefact; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,"Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: an expenditure-versus-progress control ratio, not a standardised statistical test.",yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,domain and boundary enumeration recorded in a committed audit artefact,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
A1.10,Regression to Mean CPI,unqualified 'Validated by ...' in the handbook accreditation basis,known answer: known-answer case in the Run 6 suite; boundary: none in the repository; calibration: not calibrated; no calibration set exists in this repository; empirical: not empirically validated; no comparison against real project outcomes exists,Arithmetic independently verified for the stated formula.,Not validated and not calibrated. No empirical evidence of predictive performance is held for this module. Stated proxy: fixed 50 per cent shrinkage toward historical mean; coefficient not estimated.,yes,CORRECTED,implemented and computed by the server,known-answer case in the Run 6 suite,none in the repository,stated proxy qualifier present,not calibrated; no calibration set exists in this repository,not empirically validated; no comparison against real project outcomes exists,not required by this module,does not vote,Arithmetic independently verified for the stated formula.
