module_id,module_name,category,assessed_in,scientific_disposition,operational_activation,voting_status
1.1,Monte Carlo EAC,1,Run 17,METHOD_PASS_CALIBRATION_PENDING,ADVISORY_ONLY,non-voting
1.2,CUSUM Anomaly Monitor,1,Run 17,METHOD_PASS_CALIBRATION_PENDING,ADVISORY_ONLY,non-voting
1.3,Bayesian EAC,1,Run 17,METHOD_PASS_CALIBRATION_PENDING,ADVISORY_ONLY,non-voting
1.4,Kalman Filter SPI Smoother,1,Run 17,METHOD_PASS_CALIBRATION_PENDING,ADVISORY_ONLY,non-voting
1.5,ARIMA CPI Forecast,1,Run 17,METHOD_LABEL_MISMATCH,ADVISORY_ONLY,non-voting
1.6,Earned Schedule,1,Run 17,METHOD_LABEL_MISMATCH,ADVISORY_ONLY,non-voting
1.7,TCPI,1,Run 17,SCIENTIFIC_PASS,ENABLED_QUALIFIED,VOTING
1.8,Variance at Completion,1,Run 17,SCIENTIFIC_PASS,ENABLED_QUALIFIED,VOTING
1.9,Budget Execution Rate,1,Run 17,CORRECT_PROXY_ONLY,ADVISORY_ONLY,non-voting
1.10,Regression to Mean CPI,1,Run 17,MISSING_CANONICAL_DATA_STRUCTURE,ADVISORY_ONLY,non-voting
1.11,ICE Ratio,1,Run 17,METHOD_LABEL_MISMATCH,ADVISORY_ONLY,non-voting
2.1,PERT Network Criticality,2,Run 19,CORRECT_ABSTENTION,ADVISORY_ONLY,non-voting
2.2,Line of Balance,2,Run 19,THRESHOLD_CALIBRATION_BLOCKED,ADVISORY_ONLY,non-voting
2.3,CCPM Buffer Health,2,Run 19,METHOD_PASS_CALIBRATION_PENDING,ADVISORY_ONLY,non-voting
2.4,Schedule Compression Index,2,Run 19,OWNER_DECISION_REQUIRED,ADVISORY_ONLY,non-voting
2.5,Float Consumption Rate,2,Run 19,THRESHOLD_CALIBRATION_BLOCKED,ADVISORY_ONLY,non-voting
2.6,S-Curve Deviation,2,Run 19,CORRECT_PROXY_ONLY,ADVISORY_ONLY,non-voting
2.7,Milestone Trend Analysis,2,Run 19,METHOD_LABEL_MISMATCH,ADVISORY_ONLY,non-voting
2.8,Look-Ahead Schedule Health,2,Run 19,THRESHOLD_CALIBRATION_BLOCKED,ADVISORY_ONLY,non-voting
2.9,Resource Loading Index,2,Run 19,CORRECT_PROXY_ONLY,ADVISORY_ONLY,non-voting
2.10,Schedule Risk Analysis P80,2,Run 19,METHOD_LABEL_MISMATCH,ADVISORY_ONLY,non-voting
2.11,Critical Path Index,2,Run 19,METHOD_LABEL_MISMATCH,ADVISORY_ONLY,non-voting
3.1,Reference Class Forecasting,3,Run 19,CORRECT_ABSTENTION,ADVISORY_ONLY,non-voting
3.2,Contingency Burn Rate,3,Run 19,THRESHOLD_CALIBRATION_BLOCKED,ADVISORY_ONLY,non-voting
3.3,Labor Productivity Index,3,Run 19,CORRECT_PROXY_ONLY,ADVISORY_ONLY,non-voting
3.5,Overhead Absorption Rate,3,Run 19,CORRECT_PROXY_ONLY,ADVISORY_ONLY,non-voting
3.6,Cost Risk Analysis P80,3,Run 19,METHOD_LABEL_MISMATCH,ADVISORY_ONLY,non-voting
3.7,Analogous Estimating Ratio,3,Run 19,CORRECT_PROXY_ONLY,ADVISORY_ONLY,non-voting
3.8,Parametric Cost Index,3,Run 19,METHOD_LABEL_MISMATCH,DISABLED_UNSAFE,non-voting
3.9,Inflation Adjustment Index,3,Run 19,MISSING_CANONICAL_DATA_STRUCTURE,ADVISORY_ONLY,non-voting
4.1,Document Risk Score,4,Run 19,MISSING_CANONICAL_DATA_STRUCTURE,ADVISORY_ONLY,non-voting
4.2,RFI Velocity,4,Run 19,THRESHOLD_CALIBRATION_BLOCKED,ADVISORY_ONLY,non-voting
4.3,Submittal Rejection Rate,4,Run 19,THRESHOLD_CALIBRATION_BLOCKED,ADVISORY_ONLY,non-voting
4.4,NCR Rate,4,Run 19,CORRECT_ABSTENTION,ADVISORY_ONLY,non-voting
4.5,Weather Day Impact,4,Run 19,CORRECT_PROXY_ONLY,ADVISORY_ONLY,non-voting
4.6,Change Order Frequency,4,Run 19,METHOD_LABEL_MISMATCH,ADVISORY_ONLY,non-voting
4.7,Dispute Escalation Index,4,Run 19,METHOD_LABEL_MISMATCH,ADVISORY_ONLY,non-voting
4.8,Subcontractor Performance,4,Run 19,PARAMETER_PROVENANCE_BLOCKED,ADVISORY_ONLY,non-voting
4.9,Procurement Lead Time Monitor,4,Run 19,CORRECT_PROXY_ONLY,ADVISORY_ONLY,non-voting
4.10,Specification Conflict Density,4,Run 19,METHOD_LABEL_MISMATCH,ADVISORY_ONLY,non-voting
5.1,DSM Rework Propagation,5,Run 19,CORRECT_ABSTENTION,ADVISORY_ONLY,non-voting
5.2,Sensitivity Analysis,5,Run 19,IMPLEMENTATION_DEFECT,ADVISORY_ONLY,non-voting
5.3,Tornado Risk Ranking,5,Run 19,METHOD_LABEL_MISMATCH,ADVISORY_ONLY,non-voting
5.4,Scenario Modeling,5,Run 19,OWNER_DECISION_REQUIRED,ADVISORY_ONLY,non-voting
5.5,Rework Feedback Loop,5,Run 19,METHOD_LABEL_MISMATCH,ADVISORY_ONLY,non-voting
5.6,Queueing Theory Bottleneck,5,Run 19,CORRECT_PROXY_ONLY,ADVISORY_ONLY,non-voting
5.7,Agent-Based Supply Chain,5,Run 19,CORRECT_PROXY_ONLY,ADVISORY_ONLY,non-voting
5.8,Discrete Event Simulation,5,Run 19,METHOD_LABEL_MISMATCH,ADVISORY_ONLY,non-voting
8.6,Quality Compliance Index,8,Run 19,CORRECT_PROXY_ONLY,ADVISORY_ONLY,non-voting
8.7,Safety Performance Index,8,Run 19,MISSING_CANONICAL_DATA_STRUCTURE,ADVISORY_ONLY,non-voting
8.8,Environmental Compliance Rate,8,Run 19,REGULATORY_VERSION_BLOCKED,ADVISORY_ONLY,non-voting
8.9,Contractor Performance Score,8,Run 19,MISSING_CANONICAL_DATA_STRUCTURE,ADVISORY_ONLY,non-voting
6.1,Conservative Dominance,6,Run 17,IMPLEMENTATION_DEFECT,ADVISORY_ONLY,non-voting
6.2,Weighted Voting,6,Run 17,METHOD_LABEL_MISMATCH,ADVISORY_ONLY,non-voting
6.3,Majority Rules,6,Run 17,METHOD_PASS_CALIBRATION_PENDING,ADVISORY_ONLY,non-voting
6.4,Worst-N-of-M,6,Run 17,IMPLEMENTATION_DEFECT,ADVISORY_ONLY,non-voting
7.1,Dempster-Shafer,7,Run 17,METHOD_PASS_CALIBRATION_PENDING,ADVISORY_ONLY,non-voting
7.2,Rough Sets,7,Run 19,METHOD_LABEL_MISMATCH,ADVISORY_ONLY,non-voting
7.3,Neutrosophic Logic,7,Run 19,PARAMETER_PROVENANCE_BLOCKED,ADVISORY_ONLY,non-voting
7.4,Interval Fuzzy Sets,7,Run 19,PARAMETER_PROVENANCE_BLOCKED,ADVISORY_ONLY,non-voting
7.5,Z-numbers,7,Run 19,PARAMETER_PROVENANCE_BLOCKED,ADVISORY_ONLY,non-voting
7.6,PLTS,7,Run 19,PARAMETER_PROVENANCE_BLOCKED,ADVISORY_ONLY,non-voting
7.7,Plithogenic Sets,7,Run 19,FUTURE_RESEARCH_ONLY,DISABLED_UNSAFE,non-voting
7.8,Belief Rule Base,7,Run 19,PARAMETER_PROVENANCE_BLOCKED,ADVISORY_ONLY,non-voting
7.9,Quantum Probability,7,Run 19,FUTURE_RESEARCH_ONLY,DISABLED_UNSAFE,non-voting
7.10,Pythagorean Fuzzy Sets,7,Run 19,IMPLEMENTATION_DEFECT,ADVISORY_ONLY,non-voting
7.11,Picture Fuzzy Sets,7,Run 19,PARAMETER_PROVENANCE_BLOCKED,ADVISORY_ONLY,non-voting
7.12,Hesitant Fuzzy Sets,7,Run 19,PARAMETER_PROVENANCE_BLOCKED,ADVISORY_ONLY,non-voting
7.13,Type-2 Fuzzy Sets,7,Run 19,CORRECT_PROXY_ONLY,ADVISORY_ONLY,non-voting
7.14,Maximum Entropy,7,Run 19,METHOD_LABEL_MISMATCH,ADVISORY_ONLY,non-voting
7.15,Possibility Theory,7,Run 19,IMPLEMENTATION_DEFECT,ADVISORY_ONLY,non-voting
7.16,Spherical Fuzzy Sets,7,Run 19,PARAMETER_PROVENANCE_BLOCKED,ADVISORY_ONLY,non-voting
7.17,Fermatean Fuzzy Sets,7,Run 19,PARAMETER_PROVENANCE_BLOCKED,ADVISORY_ONLY,non-voting
7.18,MARCOS Ranking,7,Run 19,MISSING_CANONICAL_DATA_STRUCTURE,ADVISORY_ONLY,non-voting
7.19,CRITIC-TOPSIS,7,Run 19,CORRECT_ABSTENTION,ADVISORY_ONLY,non-voting
7.20,Hypersoft Sets,7,Run 19,FUTURE_RESEARCH_ONLY,DISABLED_UNSAFE,non-voting
8.1,ABM Governance Layer,8,Run 19,METHOD_LABEL_MISMATCH,ADVISORY_ONLY,non-voting
8.2,FAR Threshold Monitor,8,Run 19,MISSING_CANONICAL_DATA_STRUCTURE,ADVISORY_ONLY,non-voting
8.3,OMB A-11 Check,8,Run 19,MISSING_CANONICAL_DATA_STRUCTURE,ADVISORY_ONLY,non-voting
8.4,EVM Reporting Threshold,8,Run 19,MISSING_CANONICAL_DATA_STRUCTURE,ADVISORY_ONLY,non-voting
8.5,Contract Modification Frequency,8,Run 19,CORRECT_PROXY_ONLY,ADVISORY_ONLY,non-voting
10.1,Multi-Objective Optimization,10,Run 19,METHOD_LABEL_MISMATCH,DISABLED_UNSAFE,non-voting
10.2,Linear Programming,10,Run 19,MISSING_CANONICAL_DATA_STRUCTURE,DISABLED_UNSAFE,non-voting
10.3,Constraint Satisfaction Analysis,10,Run 19,CORRECT_PROXY_ONLY,ADVISORY_ONLY,non-voting
10.4,What-If Scenario Matrix,10,Run 19,METHOD_LABEL_MISMATCH,ADVISORY_ONLY,non-voting
10.5,Decision Sensitivity Matrix,10,Run 19,METHOD_LABEL_MISMATCH,DISABLED_UNSAFE,non-voting
10.6,Pareto Frontier Analysis,10,Run 19,METHOD_LABEL_MISMATCH,DISABLED_UNSAFE,non-voting
10.7,Regret Minimization Index,10,Run 19,CORRECT_ABSTENTION,ADVISORY_ONLY,non-voting
9.1,Missing Data Index,9,Run 19,CORRECT_PROXY_ONLY,ADVISORY_ONLY,non-voting
9.2,Data Timeliness Score,9,Run 19,MISSING_CANONICAL_DATA_STRUCTURE,ADVISORY_ONLY,non-voting
9.3,Source Reliability Weighting,9,Run 19,PARAMETER_PROVENANCE_BLOCKED,ADVISORY_ONLY,non-voting
9.4,Audit Trail Completeness,9,Run 19,MISSING_CANONICAL_DATA_STRUCTURE,ADVISORY_ONLY,non-voting
9.5,Information Completeness Ratio,9,Run 19,CORRECT_PROXY_ONLY,ADVISORY_ONLY,non-voting
9.6,Cross-document Consistency Score,9,Run 19,METHOD_LABEL_MISMATCH,ADVISORY_ONLY,non-voting
9.7,Reporting Frequency Index,9,Run 19,MISSING_CANONICAL_DATA_STRUCTURE,ADVISORY_ONLY,non-voting
