module,v15_operational_runner_state,v15_runner_executed,v15_legacy_result,v15_ledger_row_existed,v15_ledger_row_disposition,v16_operational_runner_state,v16_canonical_reached,v16_ledger_row_exists,v16_ledger_disposition,disabled_or_archive,explanation
B2.1,legacy proxy runner,yes,Red,yes,computed,canonical route into canonical_v5,yes,yes,NOT_ESTIMABLE_STRUCTURE_ABSENT,no,its v15 runner executed and produced a banded analytical reading from crisp project metrics; under v16 the canonical route abstains because the defining structure is absent from this corpus
B2.2,legacy proxy runner,yes,Red,yes,computed,canonical route into canonical_v5,yes,yes,NOT_ESTIMABLE_STRUCTURE_ABSENT,no,its v15 runner executed and produced a banded analytical reading from crisp project metrics; under v16 the canonical route abstains because the defining structure is absent from this corpus
B2.3,legacy proxy runner,yes,Red,yes,computed,canonical route into canonical_v5,yes,yes,NOT_ESTIMABLE_STRUCTURE_ABSENT,no,its v15 runner executed and produced a banded analytical reading from crisp project metrics; under v16 the canonical route abstains because the defining structure is absent from this corpus
B2.4,legacy proxy runner,yes,Amber,yes,computed,canonical route into canonical_v5,yes,yes,NOT_ESTIMABLE_STRUCTURE_ABSENT,no,its v15 runner executed and produced a banded analytical reading from crisp project metrics; under v16 the canonical route abstains because the defining structure is absent from this corpus
B2.5,legacy proxy runner,yes,Red,yes,computed,canonical route into canonical_v5,yes,yes,NOT_ESTIMABLE_STRUCTURE_ABSENT,no,its v15 runner executed and produced a banded analytical reading from crisp project metrics; under v16 the canonical route abstains because the defining structure is absent from this corpus
B2.6,legacy proxy runner,yes,Amber,yes,computed,canonical route into canonical_v5,yes,yes,NOT_ESTIMABLE_STRUCTURE_ABSENT,no,its v15 runner executed and produced a banded analytical reading from crisp project metrics; under v16 the canonical route abstains because the defining structure is absent from this corpus
B2.7,"disabled/archived, short-circuited",no,(abstained),yes,abstained,"disabled/archived, refuses before any mathematics",no (refused at the gate),yes,DISABLED,yes,"disabled or archived under BOTH lines. It carries a ledger row stating that state and has never been a populated analytical reading, so it belongs in neither before nor after analytical count"
B2.8,legacy proxy runner,yes,Red,yes,computed,canonical route into canonical_v5,yes,yes,NOT_ESTIMABLE_STRUCTURE_ABSENT,no,its v15 runner executed and produced a banded analytical reading from crisp project metrics; under v16 the canonical route abstains because the defining structure is absent from this corpus
B2.9,"disabled/archived, short-circuited",no,(abstained),yes,abstained,"disabled/archived, refuses before any mathematics",no (refused at the gate),yes,ARCHIVED,yes,"disabled or archived under BOTH lines. It carries a ledger row stating that state and has never been a populated analytical reading, so it belongs in neither before nor after analytical count"
B2.10,legacy proxy runner,yes,Amber,yes,computed,canonical route into canonical_v5,yes,yes,NOT_ESTIMABLE_STRUCTURE_ABSENT,no,its v15 runner executed and produced a banded analytical reading from crisp project metrics; under v16 the canonical route abstains because the defining structure is absent from this corpus
B2.11,legacy proxy runner,yes,Amber,yes,computed,canonical route into canonical_v5,yes,yes,NOT_ESTIMABLE_STRUCTURE_ABSENT,no,its v15 runner executed and produced a banded analytical reading from crisp project metrics; under v16 the canonical route abstains because the defining structure is absent from this corpus
B2.12,legacy proxy runner,yes,Amber,yes,computed,canonical route into canonical_v5,yes,yes,NOT_ESTIMABLE_STRUCTURE_ABSENT,no,its v15 runner executed and produced a banded analytical reading from crisp project metrics; under v16 the canonical route abstains because the defining structure is absent from this corpus
B2.13,legacy proxy runner,yes,Red,yes,computed,canonical route into canonical_v5,yes,yes,NOT_ESTIMABLE_STRUCTURE_ABSENT,no,its v15 runner executed and produced a banded analytical reading from crisp project metrics; under v16 the canonical route abstains because the defining structure is absent from this corpus
B2.14,legacy proxy runner,yes,Amber,yes,computed,canonical route into canonical_v5,yes,yes,NOT_ESTIMABLE_STRUCTURE_ABSENT,no,its v15 runner executed and produced a banded analytical reading from crisp project metrics; under v16 the canonical route abstains because the defining structure is absent from this corpus
B2.15,legacy proxy runner,yes,Amber,yes,computed,canonical route into canonical_v5,yes,yes,NOT_ESTIMABLE_STRUCTURE_ABSENT,no,its v15 runner executed and produced a banded analytical reading from crisp project metrics; under v16 the canonical route abstains because the defining structure is absent from this corpus
B2.16,legacy proxy runner,yes,Red,yes,computed,canonical route into canonical_v5,yes,yes,NOT_ESTIMABLE_STRUCTURE_ABSENT,no,its v15 runner executed and produced a banded analytical reading from crisp project metrics; under v16 the canonical route abstains because the defining structure is absent from this corpus
B2.17,legacy proxy runner,yes,Amber,yes,computed,canonical route into canonical_v5,yes,yes,NOT_ESTIMABLE_STRUCTURE_ABSENT,no,its v15 runner executed and produced a banded analytical reading from crisp project metrics; under v16 the canonical route abstains because the defining structure is absent from this corpus
B2.18,legacy proxy runner,yes,Yellow,yes,computed,canonical route into canonical_v5,yes,yes,NOT_ESTIMABLE_STRUCTURE_ABSENT,no,its v15 runner executed and produced a banded analytical reading from crisp project metrics; under v16 the canonical route abstains because the defining structure is absent from this corpus
B2.19,legacy proxy runner,yes,(abstained),yes,abstained,canonical route into canonical_v5,yes,yes,NOT_ESTIMABLE_STRUCTURE_ABSENT,no,"ITS v15 RUNNER EXECUTED AND STILL ABSTAINED, which is why the count of runners and the count of populated rows are different quantities: it already required an explicit decision structure that this corpus does not carry"
B2.20,"disabled/archived, short-circuited",no,(abstained),yes,abstained,"disabled/archived, refuses before any mathematics",no (refused at the gate),yes,DISABLED,yes,"disabled or archived under BOTH lines. It carries a ledger row stating that state and has never been a populated analytical reading, so it belongs in neither before nor after analytical count"
