module,module_name,canonical_defining_structure,canonical_structure_present,epistemic_parameters_present,canonical_computation_possible,operational_result,abstention_reason,legacy_proxy_would_previously_have_returned,result_generated_by_legacy_proxy,pass_fail
B2.1,Dempster-Shafer,evidenceMassFunctions,no,no,no: the defining structure is absent from the corpus,None,"Awaiting bodies of evidence expressed as mass over the states being distinguished, each body naming the evidence it was read from. This measure is named for a m",Red: Belief: Green 4% · Amber 46% · Red 49% · Conflict mass 68%,no,PASS
B2.2,Rough Sets,roughDecisionTable,no,no,no: the defining structure is absent from the corpus,None,"Awaiting a decision table: the cases observed, the attributes recorded for each, and the decision recorded against them. This measure is named for a method that","Red: Borderline: Amber / Red (Green 0, Amber 1, Red 1 of 2 signals)",no,PASS
B2.3,Neutrosophic Logic,neutrosophicAssessment,no,no,no: the defining structure is absent from the corpus,None,"Awaiting an assessment stated as three independent degrees -- how far the statement is supported, how far it is undetermined, and how far it is contradicted. Th","Red: T=0.95 I=0.04 F=0.01, Indeterminacy: Low",no,PASS
B2.4,Interval Fuzzy Sets,intervalFuzzyAssessment,no,no,no: the defining structure is absent from the corpus,None,"Awaiting an assessment stated as a range of membership rather than a single degree. This measure is named for a method that cannot be carried out without it, so","Amber: Green [0, 0.38] Amber [0.41, 0.68] Red [0, 0.59]",no,PASS
B2.5,Z-numbers,zNumberAssessment,no,no,no: the defining structure is absent from the corpus,None,Awaiting an assessment stated as a restriction together with an explicit statement of how reliable that restriction is. This measure is named for a method that ,Red: Reliability-weighted: Red 0.85 · Amber 0.65 · Green 0 · Avg reliabilit,no,PASS
B2.6,PLTS,probabilisticLinguisticAssessment,no,no,no: the defining structure is absent from the corpus,None,"Awaiting an assessment stated as named terms with a probability against each. This measure is named for a method that cannot be carried out without it, so no re",Amber: P(Green)=6% · P(Amber)=49% · P(Red)=45%,no,PASS
B2.7,Plithogenic Sets,plithogenicLabStructure,no,no,no: the defining structure is absent from the corpus,None,Plithogenic Sets is disabled for operational use: it is held as research only and produces no reading for any project. A complete set of assessed degrees does n,"(disabled: refused before its formula, unchanged)",no,PASS
B2.8,Belief Rule Base,beliefRuleBase,no,no,no: the defining structure is absent from the corpus,None,"Awaiting a belief rule base: the antecedent reference states, the rule and attribute weights, and the belief distribution each rule concludes. This measure is n",Red: BRB belief: Green 5% · Amber 25% · Red 70% · 1 rule(s) activated,no,PASS
B2.9,Quantum Probability,(archived: none),no,no,no: the defining structure is absent from the corpus,None,Quantum Probability is archived and disabled for operational use: it is kept as part of the research record and produces no reading for any project. Restoring i,"(disabled: refused before its formula, unchanged)",no,PASS
B2.10,Pythagorean Fuzzy Sets,pythagoreanFuzzyAssessment,no,no,no: the defining structure is absent from the corpus,None,Awaiting an assessment stated as a membership and a non-membership degree whose squares together do not exceed one. This measure is named for a method that cann,Amber: PFS: μ=0.23 ν=0.51 π=0.83,no,PASS
B2.11,Picture Fuzzy Sets,pictureFuzzyAssessment,no,no,no: the defining structure is absent from the corpus,None,"Awaiting an assessment stated as positive, neutral and negative degrees that together do not exceed one. This measure is named for a method that cannot be carri",Amber: PicFS: +0.26 00 -0.48 r0.26,no,PASS
B2.12,Hesitant Fuzzy Sets,hesitantFuzzyAssessment,no,no,no: the defining structure is absent from the corpus,None,"Awaiting an assessment stated as the set of degrees the assessors actually gave. This measure is named for a method that cannot be carried out without it, so no","Amber: HFS: avg membership 0.33, hesitancy 0.13",no,PASS
B2.13,Type-2 Fuzzy Sets,type2FuzzyAssessment,no,no,no: the defining structure is absent from the corpus,None,"Awaiting a membership with an explicit lower and upper bound at each point considered. This measure is named for a method that cannot be carried out without it,","Red: T2FS: centroid 0.26, FOU 0.04",no,PASS
B2.14,Maximum Entropy,maximumEntropyProblem,no,no,no: the defining structure is absent from the corpus,None,"Awaiting a set of states the project may be in, and the constraints the evidence places on them. This measure is named for a method that cannot be carried out w",Amber: MaxEnt: Amber (entropy 0.76),no,PASS
B2.15,Possibility Theory,possibilityAssessment,no,no,no: the defining structure is absent from the corpus,None,"Awaiting a possibility distribution over the states the project may be in. This measure is named for a method that cannot be carried out without it, so no readi","Amber: Possibility: Amber (Π=1, N=0.55)",no,PASS
B2.16,Spherical Fuzzy Sets,sphericalFuzzyAssessment,no,no,no: the defining structure is absent from the corpus,None,"Awaiting an assessment stated as membership, non-membership and hesitancy degrees whose squares together do not exceed one. This measure is named for a method t",Red: SFS: μ=0.38 ν=0.59 π=0.71,no,PASS
B2.17,Fermatean Fuzzy Sets,fermateanFuzzyAssessment,no,no,no: the defining structure is absent from the corpus,None,Awaiting an assessment stated as a membership and a non-membership degree whose cubes together do not exceed one. This measure is named for a method that cannot,Amber: FFS: μ=0.44 ν=0.55 π=0.9,no,PASS
B2.18,MARCOS Ranking,decisionAlternatives,no,no,no: the defining structure is absent from the corpus,None,"Awaiting an explicit decision problem: the alternatives being compared, the criteria they are compared on, and which way each criterion is better. This measure ",Yellow: MARCOS score: 0.642 (utility vs ideal: 0.81),no,PASS
B2.19,CRITIC-TOPSIS,decisionAlternatives,no,no,no: the defining structure is absent from the corpus,None,"Awaiting an explicit decision problem: the alternatives being compared, the criteria they are compared on, and which way each criterion is better. This measure ",None: No set of alternatives scored against criteria has been provided for t,no,PASS
B2.20,Hypersoft Sets,hypersoftLabStructure,no,no,no: the defining structure is absent from the corpus,None,Hypersoft Sets is disabled for operational use: it is held as research only and produces no reading for any project. A complete set of attribute combinations do,"(disabled: refused before its formula, unchanged)",no,PASS
