module_id,module_name,category,basis_class,operational_activation,voting_status,primary_method_source,canonical_structure_required,canonical_structure_present,implementation_verified,known_answer_pass,boundary_pass,missingness_pass,invariant_pass,stochastic_diagnostics_pass,reproducibility_pass,parameter_provenance_status,calibration_status,threshold_status,empirical_validation_status,regulatory_snapshot,cat9_qualification_status,lineage_status,scientific_disposition,production_change_made,finding_summary,required_next_action,test_names,evidence_paths
2.1,PERT Network Criticality,2,B. ESTABLISHED_CANONICAL_METHOD,ADVISORY_ONLY,non-voting,Specification 11 section 2.1; Dodin and Elmaghraby (1985) criticality indices,yes,no,n/a,yes,yes,yes,yes,n/a,n/a,n/a,n/a,n/a,NOT_DONE,n/a,NO_RAW_INPUT_CONSUMED,NO_EVIDENCE_EMITTED,CORRECT_ABSTENTION,no,"The canonical method needs an activity network with precedence logic and three-point durations, and the corpus carries no such object. The module abstains on every input shape tested, including a complete earned-value vector, and names the activity network as what is missing. The former literal three-activity network was removed rather than gated, so no criticality index is published from stand-in durations. The oracle reproduced the specification's own network independently and confirms what the method would require. Abstention is the scientifically correct result here, not a failure.",Build the activity network corpus if project-specific criticality is wanted. Until then this module correctly reports nothing.,"known-answer: the classical PERT activity mean; known-answer: the classical PERT activity variance; known-answer: the specification's network makes A and C critical and not B; boundary: abstains on empty input; boundary: abstains on a full EVM vector but no network; boundary: abstains on a schedule index alone; criticality is not reported from durations that are this file's literals rather than the project's network; missingness: the abstention says the activity network is what is missing; invariant: no project-level input changes the outcome while the structure is absent, so nothing about the project can move a band that has no basis; known-answer: the classical PERT mean (O + 4M + P) / 6; known-answer: the classical PERT variance ((P - O) / 6) squared; positive: executes on a governed activity network; known-answer: the specification's deterministic collapse makes A and C critical in every trial and B in none; missingness: with no activity network the answer is not estimable, and the schedule index is not used to reconstruct topology; invalid input: logic that runs in a circle has no forward pass; invalid input: a predecessor naming no activity in the network is refused",server/tools/test_run19_category_2.py; server/tools/run17/oracle/oracles_cat_2.py; server/tools/run17/categories/category_2_faults.csv
2.2,Line of Balance,2,B. ESTABLISHED_CANONICAL_METHOD,ADVISORY_ONLY,non-voting,"Specification 11 section 2.2; Arditi, Tokdemir and Suh (2001, 2002)",yes,conditional,yes,yes,yes,yes,yes,n/a,yes,n/a,NOT_CALIBRATED,HEURISTIC_UNCALIBRATED,NOT_DONE,n/a,RAW_UNQUALIFIED_INPUT,OWN_STRUCTURE_ONLY,THRESHOLD_CALIBRATION_BLOCKED,no,"The separation between the leading and following production lines is computed from the structure's own locations, production rates and starts, and reproduces an independent calculation of the same quantity. Crew continuity, the location sequence and the offsets are preserved, the interference case is located at the correct location, and slowing the following line widens the separation as it must. Where no repetitive structure exists the module abstains, which specification 2.2 states is correct. What has no basis is the banding: the boundaries at one and a half and three days are the module's own, and the specification supplies no universal line-of-balance threshold.","Source or calibrate the minimum separation boundaries, or convert them to a declared owner policy. The measurement itself needs no change.","known-answer: the specification's planned production slope; known-answer: the specification's actual production slope, deteriorated; invariant: the actual line is slower than the planned line, which is the direction of deterioration the specification requires be provable; known-answer: the minimum crew separation, from the two production lines; known-answer: the interference is located at the last location; the production rates reported are the structure's own rates, not literals of the module; metamorphic: slowing the following line widens the minimum separation; v3 structure: a planned and an actual production rate are reported for each line of work, which is what makes deterioration visible; known-answer: a line running at half a location a day against a planned one a day has an actual slope of 0.5; v3 invariant: a line slower than plan is reported as deteriorating and a line at or above plan is not; v3 missingness: with no planned production rates the answer is not estimable, and the actual rates alone are not used in their place; boundary: a production rate of zero is refused, since a line of work cannot advance at it; boundary: a negative production rate is refused; with no repetitive location and production-line structure the module abstains, which specification 2.2 states is the correct result; missingness: the leading and following lines must both be named",server/tools/test_run19_category_2.py; server/tools/run17/oracle/oracles_cat_2.py; server/tools/run17/categories/category_2_faults.csv
2.3,CCPM Buffer Health,2,B. ESTABLISHED_CANONICAL_METHOD,ADVISORY_ONLY,non-voting,Specification 11 section 2.3; critical chain buffer management,yes,conditional,yes,yes,yes,yes,yes,n/a,yes,n/a,NOT_CALIBRATED,OWNER_POLICY,NOT_DONE,n/a,RAW_UNQUALIFIED_INPUT,OWN_STRUCTURE_ONLY,METHOD_PASS_CALIBRATION_PENDING,no,"Buffer penetration is consumed over original buffer, read off a sized project buffer and a real critical chain, and matches the specification's worked forty per cent exactly. It is monotone in the buffer remaining and exact at both endpoints. Inferring buffer consumption from the schedule index or percent complete is refused, which is what specification 2.3 forbids. The fever-chart zones move with chain completion rather than being fixed constants, which is the recognised fever-chart convention, but it is a management convention and not a mathematical property of the method.",Record the fever-chart zone rule as a versioned owner policy so it is not read as a literature-derived constant.,"known-answer: the specification's ten day buffer with six remaining; known-answer: production reports the same forty per cent penetration; known-answer: chain completion is the chain's own progress; buffer consumption is read off a sized project buffer rather than inferred from the schedule index or percent complete, which specification 2.3 forbids; invariant: an untouched buffer is nought per cent penetrated; invariant: a fully consumed buffer is one hundred per cent penetrated; invariant: penetration is strictly decreasing in the buffer that remains; boundary: a buffer sized at zero days has no share to be consumed; invalid input: more days remaining than the buffer was sized for is refused; invalid input: chain progress outside nought to one is refused; missingness: a chain with no sized project buffer is refused; threshold: the fever chart zones move with chain completion rather than being fixed constants, so they are a management convention and not a mathematical property of the method; known-answer: the specification's ten day buffer with six remaining has four days consumed; known-answer: and a buffer consumption ratio of 0.40; calibration: the fever chart lines are reported as the policy lines they are, and no status colour is asserted from them",server/tools/test_run19_category_2.py; server/tools/run17/oracle/oracles_cat_2.py; server/tools/run17/categories/category_2_faults.csv
2.4,Schedule Compression Index,2,D. PCEIF_CUSTOM_TRANSPARENT_INDICATOR,ADVISORY_ONLY,non-voting,"Specification 11 section 2.4, which declines to define the metric",no,n/a,yes,yes,yes,yes,yes,n/a,yes,NOT_SOURCED,NOT_CALIBRATED,HEURISTIC_UNCALIBRATED,NOT_DONE,n/a,RAW_UNQUALIFIED_INPUT,DERIVED_FROM_SPI,OWNER_DECISION_REQUIRED,no,"The declared ratio is arithmetically sound: it is scale invariant under the baseline duration, monotone in schedule performance, exactly one at a project on plan, and it refuses a zero or negative index, a finished project and a reversed baseline. But it reduces exactly to one over the schedule performance index at every value tested, so it carries no information that signal does not already carry, and no governed required completion date is an input, so nothing is being compressed against anything. Specification 2.4 states that where the registry does not define the exact metric the disposition is an owner decision, and it forbids this run from substituting its own example form.","OWNER DECISION. Define the metric: either against a governed required completion date, or retire it as a restatement of the schedule performance index.","positive: executes on a governed activity network; known-answer: twenty baseline remaining days over twenty current remaining days is a demand ratio of one; invariant: greater current remaining demand drives the index BELOW one, which the contract states is increasing compression pressure; invariant: the index is invariant under scaling both schedules together; structure: the reconciled activity count and the common status basis are reported, so the reconciliation can be audited; missingness: with no activity network the answer is not estimable, and the reciprocal of the schedule index is not used in its place; missingness: activities that carry no baseline duration cannot be reconciled between the two schedules; boundary: no remaining duration at all leaves nothing to compress; the module measures compression against a governed basis rather than against the rate implied by past performance; the compression ratio carries information the schedule performance index does not",server/tools/test_run19_category_2.py; server/tools/run17/oracle/oracles_cat_2.py; server/tools/run17/categories/category_2_faults.csv
2.5,Float Consumption Rate,2,C. LITERATURE_SUPPORTED_ADAPTATION,ADVISORY_ONLY,non-voting,Specification 11 section 2.5; Al-Gahtani (2009) float allocation,yes,conditional,yes,yes,yes,yes,yes,n/a,yes,n/a,NOT_CALIBRATED,HEURISTIC_UNCALIBRATED,NOT_DONE,n/a,RAW_UNQUALIFIED_INPUT,SHARED_PROGRESS_INPUT,THRESHOLD_CALIBRATION_BLOCKED,no,"The consumption fraction is consumed over total float and matches the specification's sixty per cent exactly. Float consumed below zero is refused rather than handing float back to the project, no positive total float abstains, and float is never fabricated from percent complete. The quantity the bands actually read is not that fraction but the fraction divided by progress, a progress-normalised stress measure which is a legitimate transparent derivation but a different quantity, and its four boundaries have no source. Note honestly that total float requires a schedule network the corpus does not hold, so this module is expected to abstain in practice.","Source or calibrate the stress boundaries, and name the banded quantity as the progress-normalised stress rather than the consumption rate.","known-answer: the specification's five day baseline float, two remaining; known-answer: total float from the network passes, TF = LS - ES; positive: executes on a governed activity network; known-answer: A began with five days of float and the network's own passes leave it one, so four days have been consumed; known-answer: which is a consumption fraction of 0.8; structure: the float is network derived rather than reported; boundary: an activity that began at zero float is reported as already critical with no fraction, rather than divided by nothing; float is taken from a schedule network rather than fabricated from percent complete, which specification 2.5 forbids; missingness: with no activity network the answer is not estimable, and the two reported float scalars are not used in their place; missingness: a network in which nothing carries its baseline float leaves nothing to measure consumption against",server/tools/test_run19_category_2.py; server/tools/run17/oracle/oracles_cat_2.py; server/tools/run17/categories/category_2_faults.csv
2.6,S-Curve Deviation,2,C. LITERATURE_SUPPORTED_ADAPTATION,ADVISORY_ONLY,non-voting,"Specification 11 section 2.6; Barraza, Back and Mata (2000)",yes,partial,yes,yes,yes,yes,yes,n/a,yes,n/a,NOT_CALIBRATED,HEURISTIC_UNCALIBRATED,NOT_DONE,n/a,RAW_UNQUALIFIED_INPUT,SHARED_EVM_INPUT_VECTOR,CORRECT_PROXY_ONLY,no,"The specification's point deviation, actual cumulative less planned cumulative, is computed exactly and reproduces the worked minus ten percentage points. Its domain is properly closed: a negative planned progress no longer inflates the deviation upward into the calm end of the band, progress above one hundred per cent is refused, and a negative earned value is refused. What the band reads, however, is the mean of that point deviation and a second deviation of earned against planned value. Both parts are transparent, but the average is a composite the specification does not define, and a single snapshot supports only point deviation, not longitudinal S-curve analysis.","Name the composite for what it is, or band the point deviation alone. Source the boundaries either way.","known-answer: the specification's planned .60 against actual .50; positive: executes on a single point of the two series; known-answer: production reports the specification's minus 0.10; structure: a single point is NOT presented as a longitudinal trend, which the contract forbids in terms; structure: two or more points give a trend and say which way it runs; known-answer: the relative deviation is the gap over the planned value; invariant: a project exactly on the planned curve deviates by nothing; missingness: with no cumulative series the answer is not estimable, and a composite of two reported percentages is not used in its place; missingness: a baseline with no matching actual series is refused; the quantity reported is the specification's point deviation D(t) = Actual - Planned, rather than a composite of it with a second, differently defined deviation",server/tools/test_run19_category_2.py; server/tools/run17/oracle/oracles_cat_2.py; server/tools/run17/categories/category_2_faults.csv
2.7,Milestone Trend Analysis,2,C. LITERATURE_SUPPORTED_ADAPTATION,ADVISORY_ONLY,non-voting,Specification 11 section 2.7,yes,partial,no,yes,yes,yes,yes,n/a,yes,n/a,NOT_CALIBRATED,HEURISTIC_UNCALIBRATED,NOT_DONE,n/a,RAW_UNQUALIFIED_INPUT,OWN_STRUCTURE_ONLY,METHOD_LABEL_MISMATCH,no,"Milestones are matched by a stable identity across periods, unmatched names invent no movement, a single snapshot abstains, and one badly slipping milestone is prevented from hiding inside the average. But the movement measured is the last forecast less the PREVIOUS FORECAST, whereas specification 2.7 defines slip as the forecast less the BASELINE. A milestone that slipped thirty-one days and then held steady reports a mean slip of zero and bands Green. No baseline milestone date is an input at all, and two snapshots cannot support the regression slope the specification names as the trend summary. The implemented quantity, period-over-period forecast drift, is legitimate; the registered name means something else.","P1. Carry the baseline milestone date and measure slip against it, retaining the drift measure separately if it is wanted. Require three or more snapshots for a trend claim.","known-answer: the specification's baseline day 100 with forecasts 104, 108 and 111 gives slips of 4, 8 and 11 days; invariant: the specification's series is deteriorating, so its slip trend has a positive slope; positive: executes on a milestone forecast history; known-answer: production reproduces the specification's slips of 4, 8 and 11 days against the ORIGINAL commitment, which v2 never computed; known-answer: and the period drifts between successive forecasts; known-answer: the direction is deteriorating; structure: a rebaseline does not erase the original commitment, so both the original and the approved baseline are retained; missingness: a milestone forecast only once carries no trend and is not estimable for a trend claim; missingness: with no forecast history the answer is not estimable, and two schedule snapshots matched by name are not used in its place; missingness: a milestone with no stable identity cannot be followed",server/tools/test_run19_category_2.py; server/tools/run17/oracle/oracles_cat_2.py; server/tools/run17/categories/category_2_faults.csv
2.8,Look-Ahead Schedule Health,2,D. PCEIF_CUSTOM_TRANSPARENT_INDICATOR,ADVISORY_ONLY,non-voting,Specification 11 section 2.8; look-ahead and make-ready planning literature,no,n/a,yes,yes,yes,yes,yes,n/a,yes,n/a,NOT_CALIBRATED,HEURISTIC_UNCALIBRATED,NOT_DONE,n/a,RAW_UNQUALIFIED_INPUT,OWN_STRUCTURE_ONLY,THRESHOLD_CALIBRATION_BLOCKED,no,"The module measures constraint rate, which is exactly one minus the specification's ready fraction, and the complementarity holds at every point tested. It is correctly not confused with percent plan complete. A window with nothing planned in it abstains rather than reading as nothing constrained, more constrained than planned is refused, and the endpoints are exact. The four boundaries have no source and the module's own comment says so: the lean literature's percent plan complete benchmarks measure a different quantity and cannot be stretched to cover this one.",Calibrate the constraint-rate boundaries or convert them to declared owner policy. Govern the look-ahead window length and the definition of constrained.,"known-answer: the specification's ten planned and three constrained give a ready fraction of 0.70; positive: executes on a governed look ahead inventory; known-answer: production reports the specification's 0.70; structure: the counts are derived from an inventory of identified activities rather than asserted as two bare numbers; invariant: no open constraints is a ready fraction of exactly one; invariant: readiness falls as constraints rise; missingness: with no constraint inventory the answer is not estimable, and two bare counts are not used in its place; boundary: a window with no activities planned in it has nothing whose readiness can be measured; invalid input: an activity whose constraint status is not stated leaves the inventory unreliable; invalid input: the same activity twice would be counted twice",server/tools/test_run19_category_2.py; server/tools/run17/oracle/oracles_cat_2.py; server/tools/run17/categories/category_2_faults.csv
2.9,Resource Loading Index,2,C. LITERATURE_SUPPORTED_ADAPTATION,ADVISORY_ONLY,non-voting,Specification 11 section 2.9,yes,no,yes,yes,yes,yes,yes,n/a,yes,n/a,NOT_CALIBRATED,HEURISTIC_UNCALIBRATED,NOT_DONE,n/a,RAW_UNQUALIFIED_INPUT,SHARED_LABOUR_INPUT,CORRECT_PROXY_ONLY,no,"The ratio implemented is arithmetically exact, scale invariant in the unit of labour hours, monotone in hours worked, refuses a zero denominator and refuses negative hours rather than banding Red for the wrong reason. But it is a project-total ratio of actual to planned labour hours, and specification 2.9 states in terms that this is a performance proxy and not a time-phased resource loading model. Planned hours are a budget, not an available capacity, and there is no period dimension anywhere in the input or the output. The proxy is honest; the canonical structure is absent.","P3. Either carry time-phased demand and capacity, or rename the module for the labour-hours performance ratio it actually computes.","known-answer: the specification's 120 labour hours of demand against 100 of capacity is a load ratio of 1.20; positive: executes on a time phased resource profile; known-answer: production reports the specification's peak ratio of 1.20; structure: the peak names its period and its resource, and the count of periods above capacity is reported; invariant: the per-period ratios agree with the independent oracle; missingness: with no time phased profile the answer is not estimable, and a project total labour hours ratio is not used in its place; boundary: a period stating no capacity gives the demand nothing to be a share of; invalid input: demand below nothing is not a quantity of demand",server/tools/test_run19_category_2.py; server/tools/run17/oracle/oracles_cat_2.py; server/tools/run17/categories/category_2_faults.csv
2.10,Schedule Risk Analysis P80,2,B. ESTABLISHED_CANONICAL_METHOD,ADVISORY_ONLY,non-voting,Specification 11 section 2.10; Monte Carlo schedule risk analysis,yes,no,no,yes,yes,yes,yes,n/a,yes,NOT_SOURCED,NOT_CALIBRATED,HEURISTIC_UNCALIBRATED,NOT_DONE,n/a,RAW_UNQUALIFIED_INPUT,DERIVED_FROM_SPI,METHOD_LABEL_MISMATCH,no,"The domain guards are sound: a zero index no longer raises and loses the project's whole result, a negative index no longer reports a delay below zero days and bands Green, and completion outside nought to one hundred is refused. The P80 is not below the P50 and the delay grows as performance falls. But there is no activity network, no duration distribution, no iteration count and no sample. The P80 is the P50 multiplied by one plus max(0.05, 1 minus SPI) times 0.5 times 1.28, which is a deterministic z-score uplift driven by the schedule index. Specification 2.10 states in terms that this is not Schedule Risk Analysis P80. The 1.28 is the normal ninetieth-percentile deviate, not an eightieth. An independent simulation of the specification's own Uniform(0,10) case converged to the analytic 8 within a tolerance frozen beforehand, showing what the canonical method produces and this one does not.",P1. Either build the schedule simulation over a real network or rename the module for the deterministic uplift it performs. The 1.28 constant should be corrected or documented whichever route is taken.,"known-answer: the specification's Uniform(0, 10) has a true P80 of 8; positive: executes on a governed network with duration distributions; known-answer: the simulated P80 converges on the true 8, within the 0.5 day tolerance declared before this run; structure: the simulation recomputes the network and reports its trial count and quantile convention; invariant: the P80 is at or above the P50; missingness: with no network the answer is not estimable, and a normal z-score uplift on a reported ratio is not used in its place; missingness: a network whose activities carry no distribution cannot be simulated; a distribution is formed and a percentile taken of it",server/tools/test_run19_category_2.py; server/tools/run17/oracle/oracles_cat_2.py; server/tools/run17/categories/category_2_faults.csv
