module_id,module_name,current_behavior_test_result,final_owner_action_bucket,bucket_meaning,canonical_structure_required,present_now,reason,production_fix_needed,synthetic_asset_needed
A1.1,Monte Carlo EAC,PROPERTY_ONLY_PASS,3,Synthetic project-structure corpus,cost risk quantification: three-point or distributional cost ranges per risk or work package,no,"The Beta-PERT spread is designed from two indices and a document risk score, not drawn from a quantified cost risk register. The arithmetic is faithful and equivariant; the canonical forecast needs a cost uncertainty structure the corpus does not hold.",no,yes
A1.5,ARIMA CPI Forecast,FAIL_DOMAIN,2,Fix with current data or abstention,a period history long enough to identify an autoregressive order,partial,The history domain is unguarded. Also the coefficient is not estimated on three points: with one product pair it is the ratio of the two differences and clamps at 0.9.,yes,no
A1.6,Earned Schedule,FAIL_DOMAIN,2,Fix with current data or abstention,"a time-phased planned value curve, which is what earned schedule is read off",no,"Two faults with current data: the completion domain is unguarded, and the module requires earned value, planned value and budget and then reads none of them, so a project reporting progress without earned value abstains for no arithmetic reason.",yes,no
A1.11,ICE Ratio,FAIL_DOMAIN,2,Fix with current data or abstention,none: the ratio is computable from data already present,yes,"A negative index produces a negative forecast reported as a currency figure. The guard exists in the cost risk, scenario and Bayesian computations and is absent here.",yes,no
A2.1,PERT Network Criticality,FAIL_BOUNDARY,2,Fix with current data or abstention,an activity network with predecessors and three-point durations,no,"The band divides an eightieth percentile of a sum by a sum of MODES, so the ratio is structurally above 1.15 whatever the schedule index. Correctable with current data by comparing like with like, or by abstaining. The canonical method separately needs a network.",yes,yes
A2.2,Line of Balance,EXACT_KAT_PASS,3,Synthetic project-structure corpus,"locations or units, crews, quantities and production rates",no,"The unit count, both production rates and the buffer are literals in the file. The arithmetic is faithful to them and hand-checkable; the method needs a real line-of-balance structure.",no,yes
A2.3,CCPM Buffer Health,EXACT_KAT_PASS,3,Synthetic project-structure corpus,a critical chain with a project buffer and feeding buffers sized from activity estimates,no,"The fever chart is faithful arithmetic over a buffer derived from the schedule index rather than from a sized critical-chain buffer. Boundary note: at zero chain completion the Amber edge is zero and inclusive, so a project exactly on plan reads Amber.",no,yes
A2.5,Float Consumption Rate,FAIL_DOMAIN,2,Fix with current data or abstention,an activity network with float and a float history across periods,no,A negative consumed float adds float to the project and reads Green. The fifteen-defects run removed the invented completion fallback and did not guard the consumed float domain.,yes,yes
A2.9,Resource Loading Index,FAIL_DOMAIN,2,Fix with current data or abstention,none: the ratio is computable from data already present,yes,Negative actual hours are not a measurement. Red is the right colour for the wrong reason and the ratio beside it is not a quantity. Band corridor is otherwise correct and inclusive at both edges.,yes,no
A2.10,Schedule Risk Analysis P80,FAIL_DOMAIN,2,Fix with current data or abstention,a schedule risk register with activity duration distributions,no,"The unguarded denominator is the exact defect the fifteen-defects run removed from the cost risk computation next door, still standing here. A raise loses the whole project result rather than one module abstaining.",yes,yes
A2.11,Critical Path Index,FAIL_DOMAIN,2,Fix with current data or abstention,"CPM paths, calendars and float history",no,Run 7 guarded the denominator and left the schedule index domain open. Lower severity than the others in this bucket because the band is Red either way; the reported index is still not a quantity.,yes,yes
A3.1,Reference Class Forecasting,DISABLED_CONTRACT_PASS,5,Optional or disabled synthetic structure,a reference class: a population of comparable completed projects with realised overruns,no,"Run 7 made this abstain unconditionally. It is technically implementable the moment a reference population exists, is optional for the present praxis because the cost forecasters already cover the role, and stays off until the owner authorises reactivation.",no,yes
A3.6,Cost Risk Analysis P80,FAIL_QUALIFIER,2,Fix with current data or abstention,a quantified cost risk register with correlations,no,"The finding text hard-codes a leading plus and then formats a negative number, so the sentence a reader sees on the Signal Ledger carries a double sign. Reachable on real data because a cost index may legitimately exceed one.",yes,yes
A4.4,NCR Rate,EXACT_KAT_PASS,3,Synthetic project-structure corpus,"an audited nonconformance cohort, that is Quality Audit Reports carrying a findings total",one project only,"The arithmetic is faithful and every guard the fifteen-defects run installed holds. It abstains on the corpus because the audit report type exists for one project, which is a corpus gap and not a defect.",no,yes
A4.10,Specification Conflict Density,FAIL_DOMAIN,2,Fix with current data or abstention,a requirements or specification dependency structure,no,"Run 7 removed the substitution and left the document risk domain open, and the out-of-domain value lands in the CALMEST band, which is the harmful direction. Run 6 recorded that the layer relies on one ingestion guard; this is where that reliance costs.",yes,yes
A5.1,DSM Rework Propagation,DISABLED_CONTRACT_PASS,5,Optional or disabled synthetic structure,a design structure matrix: which parts of the design depend on which others and how strongly,no,"Run 7 made this abstain unconditionally. Implementable once a dependency matrix exists, low priority because the rework and change-order measures already carry the role, and stays off until the owner authorises reactivation.",no,yes
A5.4,Scenario Modeling,EXACT_KAT_PASS,4,"Synthetic reference, training or decision dataset",an actions-by-scenarios payoff structure with defined scenarios and probabilities,no,"Three deterministic earned-value forecasts under three divisors. Faithful arithmetic, fully guarded by the fifteen-defects run, monetarily scale invariant. There are no scenarios anywhere in the corpus for it to model.",no,yes
A5.5,Rework Feedback Loop,FAIL_PROPERTY,2,Fix with current data or abstention,"none: the correct behaviour is to require the sources or renormalise, using data already present",yes,"This is Run 6 finding 1.4 exactly, in the module beside the one Run 7 corrected. An absent source contributes zero rather than being required or renormalised out, so withholding two documents moves the reading three bands. A reported zero and an absent log are indistinguishable because the guard is a truthiness test.",yes,no
A5.6,Queueing Theory Bottleneck,EXACT_KAT_PASS,3,Synthetic project-structure corpus,"arrival and service processes, capacity and a queue discipline",no,"A transparent share of a look-ahead window, now agreeing with the look-ahead measure that reads the same two fields. Scale invariant over twenty-four scalings. No queueing model is present.",no,yes
A5.7,Agent-Based Supply Chain,EXACT_KAT_PASS,3,Synthetic project-structure corpus,"agents, states, rules and interactions",no,A transparent share of a procurement log with every guard Run 7 installed holding. No agent model is present.,no,yes
A5.8,Discrete Event Simulation,FAIL_DOMAIN,2,Fix with current data or abstention,"events, entities, resources, queues and routing",no,"Run 7 guarded the denominator and left the schedule index domain open, the same residue as the critical path measure. Lower severity because the band is Red either way.",yes,yes
