module_id,module_name,category,outcome,status_color,abstention_reason_code,reason_or_metric
A1.10,CPI Shrinkage Forecast,A1,ABSTAINED,,canonical_structure_absent,"Awaiting a governed reference population of comparable projects with the cost performance they achieved, and the weight to place on this project's own reading. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place"
A1.11,Independent EAC Reconciliation Index,A1,ABSTAINED,,canonical_structure_absent,"Awaiting two separately prepared forecasts of the cost at completion, one from the project management team and one prepared independently of it. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
A1.2,CUSUM Anomaly Monitor,A1,COMPUTED,green,,CUSUM max 0.044 against H 0.250 over 4 periods; no breach
A1.3,Bayesian EAC,A1,ABSTAINED,,canonical_structure_absent,"Awaiting a stated prior for the cost at completion, with its source, and a stated observation model with the uncertainty of the observation. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
A1.4,Kalman Filter SPI Smoother,A1,ABSTAINED,,canonical_structure_absent,"Awaiting a state space model for the schedule index: a starting estimate, its uncertainty, the process and measurement variances, and the readings taken. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
A1.5,ARIMA CPI Forecast,A1,ABSTAINED,,insufficient_history,"The cost performance history is too short for a time series model to be identified from it, so no forecast is reported and no shorter substitute is used."
A1.6,Earned Schedule,A1,ABSTAINED,,canonical_structure_absent,"Awaiting a time phased baseline: the cumulative value of work planned to be complete at the end of each period. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
A1.7,TCPI,A1,COMPUTED,Green,,"TCPI: 0.962, the cost efficiency the remaining work must achieve to finish within budget, within the efficiency already planned"
A1.8,Variance at Completion,A1,COMPUTED,Green,,"VAC: $1,059,358 under budget (18%)"
A1.9,Budget Execution Rate,A1,ABSTAINED,,canonical_structure_absent,"Awaiting an approved time phased expenditure baseline: the amount planned to be spent by the end of each period. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
A2.1,PERT Network Criticality,A2,ABSTAINED,,canonical_structure_absent,"Awaiting the project's activity network: the activities, the logic between them, and a duration for each. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
A2.2,Line of Balance,A2,ABSTAINED,,canonical_structure_absent,"Awaiting a line of balance: locations in sequence, the crews working them, and a production rate and start for each line of work. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
A2.3,CCPM Buffer Health,A2,ABSTAINED,,canonical_structure_absent,"Awaiting a critical chain with its activities and a sized project buffer. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
A2.7,Milestone Trend Analysis,A2,ABSTAINED,,canonical_structure_absent,"Awaiting a milestone forecast history: each milestone's committed date and the date it was forecast for in each reporting period since. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
A2.8,Look-Ahead Schedule Health,A2,ABSTAINED,,canonical_structure_absent,"Awaiting a look ahead schedule: the window it covers, the activities planned in it, and whether each one still carries an open constraint. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
A2.9,Resource Loading Index,A2,ABSTAINED,,canonical_structure_absent,"Awaiting a time phased resource profile: for each period and each kind of resource, the amount of work demanded and the amount available. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
A3.1,Reference Class Forecasting,A3,ABSTAINED,,canonical_structure_absent,"Awaiting a reference class of completed comparable projects, with the criteria that put them in it and the overrun each of them finished with. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
A3.2,Contingency Burn Rate,A3,ABSTAINED,,missing_required_input,"Insufficient data: the original and remaining contingency amounts are needed, and at least one of them has not been reported for this period."
A3.3,Labor Productivity Index,A3,ABSTAINED,,canonical_structure_absent,"Awaiting a record of production: the quantity of work installed, the quantity planned, and the labour hours each of those took. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
A3.5,Overhead Absorption Rate,A3,ABSTAINED,,canonical_structure_absent,"Awaiting an overhead allocation base: the planned and actual overhead and the planned and actual amount of the base it is absorbed over. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
A3.6,Cost Risk Analysis P80,A3,ABSTAINED,,canonical_structure_absent,"Awaiting a cost risk model: the base cost components, the risk events that could occur, how likely each is and what it would cost. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
A3.7,Analogous Estimating Ratio,A3,ABSTAINED,,canonical_structure_absent,"Awaiting an identified analogous project with its cost, why it is comparable, and the factors that adapt it to this project. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
A3.9,Inflation Adjustment Index,A3,ABSTAINED,,canonical_structure_absent,"Awaiting a named external price index with its authority, geography, base period and the period being adjusted to. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
A4.1,Document Risk Score,A4,NO_ROW,,,
A4.10,Specification Conflict Density,A4,ABSTAINED,,canonical_structure_absent,"Awaiting a specification conflict register: each identified conflict, the two places in the specification that disagree, whether it has been confirmed, and the exposure the conflicts are counted over. This measure is named for a method that cannot be carried out without it, so no reading is reported"
A4.2,RFI Velocity,A4,COMPUTED,Red,,"84 RFIs over 30 days (84/30d, 19.6/week), 6 overdue (7%), avg response 11 days, oldest open 63 days"
A4.3,Submittal Rejection Rate,A4,ABSTAINED,,,Insufficient data: upload required documents
A4.4,NCR Rate,A4,ABSTAINED,,canonical_structure_absent,"Awaiting a nonconformance record with the exposure it is measured against: the nonconformances raised, and the inspections, hours or value they arose from. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
A4.5,Weather Day Impact,A4,ABSTAINED,,canonical_structure_absent,"Awaiting a weather impact record: the weather events, the activities they stopped, the time actually lost, the allowance in the contract calendar, and the float on the path. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is use"
A4.6,Change Order Frequency,A4,ABSTAINED,,canonical_structure_absent,"Awaiting a change event register with the exposure it is measured over: each change, its type, cause and value, and the span of time or contract value it arose against. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in "
A4.7,Dispute Escalation Index,A4,ABSTAINED,,canonical_structure_absent,"Awaiting a claim and dispute register: the project's own governed escalation process and the stage each issue has reached on it, with the dates it reached them. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its plac"
A4.8,Subcontractor Performance,A4,ABSTAINED,,canonical_structure_absent,"Awaiting a subcontractor performance assessment: each firm, the criteria it was rated against, the rating on each, who assessed it and the weights that were applied. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its"
A4.9,Procurement Lead Time Monitor,A4,ABSTAINED,,canonical_structure_absent,"Awaiting an item level procurement register: for each item, the date it is required on site, the date it is forecast to arrive, and the activity it feeds. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
A5.1,DSM Rework Propagation,A5,ABSTAINED,,canonical_structure_absent,"Awaiting a dependency matrix for the design: the parts of the design, which of them depend on which others and how strongly, and the rework the propagation starts from. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in "
A5.2,Sensitivity Analysis,A5,ABSTAINED,,canonical_structure_absent,"Awaiting a sensitivity model: a named response function, the state it is evaluated at, and the inputs to be moved with the range each is moved across. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
A5.4,Scenario Modeling,A5,ABSTAINED,,canonical_structure_absent,"Awaiting a scenario set: named scenarios, each stating every input it changes together, the reasoning behind it, and the response model they are all evaluated through. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in i"
A5.5,Rework Feedback Loop,A5,ABSTAINED,,canonical_structure_absent,"Awaiting a system dynamics rework model: the stock of work in the backlog, the work arriving and completed each step, and the share of completed work that returns as rework. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is use"
A5.6,Queueing Theory Bottleneck,A5,ABSTAINED,,canonical_structure_absent,"Awaiting a queue model: the rate work arrives at, the rate it is served at, how many servers there are and the order they take work in. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in its place."
A5.7,Agent-Based Supply Chain,A5,ABSTAINED,,canonical_structure_absent,"Awaiting an agent based supply chain model: the agents, the state each starts in, the rule each follows, who they are connected to, and the steps the model runs over. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used in it"
A5.8,Discrete Event Simulation,A5,ABSTAINED,,canonical_structure_absent,"Awaiting a discrete event model: the entities and when they arrive, the resources that serve them, how long service takes, and the order simultaneous events are taken in. This measure is named for a method that cannot be carried out without it, so no reading is reported and no other figure is used i"
A6.1,Quality Compliance Index,A6,ABSTAINED,,CATEGORY9_ASSESSMENT_MISSING,"The evidence offered to this measure carries no Category-9 assessment, so it is unassessed and not eligible for this use. No reading is produced and no figure is used in its place."
